,0,1,2
255,애플워치 기스 ㅠㅠ,방금 딱 벽에 부딪혀서 바로 기스났네요구매후 일쯤이 다담주라 그때 애플케어 들라했는데 혹시 모르니 얼른 들어야 겠네요괜히 맘이 아픕니다 ㅠㅠㅠ,2021.07.31. 14:33
256,에르메스 아뜰라주 더블투어 포브 도착했어요,참을 수가 없이 이쁜 자태를 보세오가죽이도 넘 고급지게 들어가있었구요영롱한 풀샷하지만 가죽은 일단 가을로 이게 먼저다나름 첫 개시입니닷 ㅋㅋㅋ드디어 기다리던 아이가 왔어요 ㅠㅠㅠ심지어 초반에 나온 거였는지 안에 충전기도 들어있었구요생각보다 얼떨떨하지만 차보니 마치 처음부터 내 것이었던 거 마냥 이쁘네요 ㅠㅠㅠ 내새끼  년넘게 함께하쟛,2021.07.31. 12:53
257,역시 스뎅스뎅이죠,시리즈 미리 스뎅으로 존버하고있습니다 시리즈 디자인 바뀌어서 출시된다고 해서 총알 장전중입니다 ㅎ 이번 시리즈도 스뎅으로 가야겠네요 ㅎㅎ,2021.07.31. 12:47
258,아오 힘들어 ㅠ,월 도전 목표 달성과 함께 완벽한 달 만들었습니다 더 충격적인건 아직 오늘 운동이 안끝났다는 사실 ㅎ고놈의 다이어트 다들 열운입니다   뿌듯,2021.07.31. 12:14
259,애플워치 쓰니까 더 만족도가 높네요 ㅋㅋ,애플워치쓸때는 기스같은거 날까 노심초사했는데 는 가격도 저렴하고 막쓰게 되서 더 편한느낌 ㅋㅋ 쓰다가 이나  넘어가야겠습니다,2021.07.31. 11:27
260,드디어 산 스와로브스키 케이스 영롱해요ㅠ,백화점 갈때마다 스와로브스키 매장가서 있는지 확인했는데ㅠㅠ 매번없어서 그냥 공홈에서 주문할까했는데 드디어 찾았어요 역시 실물 그냥 바로 인터넷으로 사도 좋았을정도로 아주 퀄이 만족스럽네용ㅎㅎ스트랩이 정품 밀레 실버 그파만 있는데 둘다 완전 잘어울려서 넘 다행이예요 사진으로 반짝임이 잘 안보이는게 넘 아쉬우ㅏ요ㅠㅠ역시 큐빅은 스와 옆면도 이래서 스그인데 스뎅같은 너낌 낭낭해용ㅎㅎㅎ 존예ㅠㅠ 밀레랑도 완전 찰떡이죠ㅠㅠㅠ 완전 좋네융,2021.07.31. 11:06
261,선물용 워치,애플워치 선물용으로 너무 좋네요  앱에서 결제하고  가로수길에서 픽업했어요혹시 몰라서 일 전에 미리 결제하고 픽업하러 갔어요당일날 구매할려고 했다가 재고 없을까봐 ㅜ선물포장 추가할지 말지 엄청 고민하다가별로라는 후기가 많아 따로 포장전문점에 가서 맡겼어요선물하시는 분들은 이렇게 따로 포장해서 주는 것도 괜찮은 것 같아요저는 그냥 기본버전 인데운동 좋아하는 분들은 나이키 에디션으로 구매해도 넘 좋을 거 같아요 한거라 그런지 비닐을 안 씌워주더라구요 ㅠ스페이스 그레이 알루미늄 케이스  블랙  스포츠 루프로 했어요시크하고 이쁜 것 같아효사진펑,2021.07.31. 10:09
262,보라보라 조합,ㅇㄹ에서 싸게 구매한 약간 어두운 보라 줄질,2021.07.31. 09:55
263,워치 잠김 개선,핸드폰 터치 아이디 잠김 풀면 워치도 잠김 같이 풀리다가 안되어 불편했는데  업데이트 후 잘 되네요,2021.07.31. 09:32
264,간만에 페이스 변경 스트랩이랑 찰떡이네요,요즘 애정하는 슬림 실리콘 스트랩에찰떡같이 어울릴만한 워치 페이스를 발견넘 이뿌네요ㅠㅠ 당분간은 요걸로 정착해야겠오요페이스 만든분을 향해 절 올립니당,2021.07.31. 09:06
265,공유 받은 오늘의 워치,제가 위블로 참 좋아하는데요드디어 위블로 시계 하나 장만했습니다오예,2021.07.31. 06:37
266,시리즈   구입했습니다,년에 사의 경품 당첨을 통해서 애플워치 세대혹은 세대라고 하는 그 제품를 지금까지 쓰고 있었는데 요즘들어 바꾸고 싶은 생각이 자꾸 들더라구요시리즈 를 구입하려고 당마 열심히 봤는데 가격이 썩 맘에 들지 않아서 그냥 시리즈 을 사게 되었습니다바코드 붙은 라벨 뒤에 뭔가 하나 더 붙어있는 것으로 봐서는 최소 번은 재판매 된 것이 아닌가 싶은데 박스만 좀 낡은 느낌 물씬 나고 제품 자체는 깨끗했습니다 아 충전기는 도대체 뭔 짓을 했을까 싶을 정도로 케이블이 좀 더러웠습니다 가 기본 탑재 되었다는 것  생긴 것 새로운 페이스 쓸 수 있는 것과 카톡을 다시 설치할 수 있게 되어서 좋네요 ㅠ,2021.07.30. 23:44
267,자기전 우어치잉,이것저것 해도 스포츠루프가 제일 편해요 결국 편한거만 핡,2021.07.30. 23:28
268,스댕워치 만들기 긴글주의,하 코로나 확진자와 밀접접촉자가 되어오후에 보건소 연락을 받고 조기 퇴근을 했습니다주동안 자가격리를 해야하는데 뭐할까 하다가미루고 미뤄뒀던 스댕작업을 하기로 마음먹었습니다 원래 스그는 이런 색상이죠 출처네버ㅋㅍ에서 사포 세트와네버에서 케이프코드를 구매했습니다책상에 신문지 꼭 깔구요 사포질을 시작해봅니다 방 사포로 시작액정에 기스가 생길까봐 위아래로 테이프 붙인 상태로갈아주기 시작했습니다 생각보다 금방 갈리네요스피커랑 수화부로 가루가 들어갈까봐 걱정이 들어서테이프나 클레이 같은걸로 막고 할까 생각했는데그래봤자 불편하기만 할거같아서 그냥 아무장치없이인정사정없이 갈아버리기 시작했습니다 방 사포 진행 상태이런식으로 모든 면을 고르게 갈아줍니다제가 구매한 사포세트에는 방부터 방 까지         이런식으로 십수장이 들어있었습니다 모든 사포를 다 쓴건 아니었고 뛰어넘은 사포들도 있었습니다방 아래의 사포로 전체적인 스페이스그레이 색상을 벗겨주고 방 쯤 접어드니 약간 곱게 정리가 되는 느낌이 들었습니다 용두와 전원버튼과 마이크 구멍이 있는 면은 사포질하기 너무 힘들었습니다다 완성된 지금도 용두면만 지저분합니다작업도중에는 손이 너무 더러워져서사진을 찍지 못했습니다 ㅠㅠ방 방 방 차례로 인내심으로 삭삭 갈아주면 거의 알루미늄 실버보다 약간 더 빛나는 느낌의 색으로 정리가 됩니다방으로 전체적인 면들을 다 정리해주고 나면케이프코드를 뜯습니다 가위로 적당히 몇등분 내주고고무장갑을 착용한 뒤 윤활유의 냄새를 맡아가며케이프코드로 모든 면들을 빡빡 닦아줍니다케이프코드로 닦으면 검은 철가루 알루미늄가루 같은데 속 시원하게 닦여나옵니다케이프코드로 닦는 도중에 손으로 애플워치 본체를 슥 문질러보면 굉장히 반짝하고 빛나는 모습을 볼수있습니다 기분이가 좋아요 윤활유 범벅이 되버린 애플워치를 가지고 화장실에 갑니다 세면대에 물을 받아주시고 물에 담궈버립니다물에 담궈도 미끌거리는 윤활유는 없어지지않죠인정사정 볼것 없습니다 바로 미누를 집어듭니다비누로 손 씻듯이 ㅋㅋ애플워치를 양손 사이에 넣고 비누거품으로 싹싹 비벼줍니다워치를 방수방진 기능이 있어서 내부적으로 이상이 생기지 않습니다물로 한번더 씻어주시고 뽀득뽀득해지면건져내서 물기를 털어주시고 물빼기모드도 몇번 돌려줍니다 수건으로 물기 닦아주면 끝 결과물입니다이게 원래 스그였다구요 믿어지세요스댕이 세젤예이상 긴글 끝까지 봐주셔서 감사합니다제가 유튜버였으면 영상으로 만들었겠지만뭔가 고생한 마음에 아사모에라도 끄적였습니다,2021.07.30. 23:20
269,숫자듀오  네이비 스포츠루프,네이비 스포츠루프 깔끔하네요,2021.07.30. 22:55
270,오늘은 프라다 로고  페이스를 만들어봤어요,워치애니띵은 사랑입니다,2021.07.30. 22:17
271,카페에서 구매한 워치,애플케어플러스가입 했어요,2021.07.30. 20:14
272,칩앤데일 졸귀탱,사놓고 구석에 넣어놨던에토프 끼고 놀러왔어용칩앤데일 페이스와 깔맞춤해쏘용너무 긔여워요ㅠㅠㅠㅠ진짜 에토프와 완전 잘 어울려서볼때마다 기분 좋네용 이거는 오늘 제 저녁 맛저하세용,2021.07.30. 19:19
273,헬스장용 애플워치 스트랩,알리에서 구매했어요나쁘지않으면  내년엔 정품으로 하나 구매해야겠어요,2021.07.30. 19:15
274,화이자 접종하고 파랑파랑 워치,오늘 화이자 차 접종하고 왔어요 겁이 진짜 많은 쫄보인데 맞을 때 진짜 하나도 안 아팠어요ㅋㅋㅋㅋㅋㅋ 별거 아니네 싶었는데 시간 정도 지난 지금은 백신 맞은 쪽 팔이 너무 아픕니다 백신 맞으러 가기 전    원래 이런 쨍한 색을 싫어했는데 요즘 자주 차게 되는 스트랩ㅎㅎㅎ  올리는 김에 며칠전의 워치도 같이 올려봅니당 이건 하늘색 스포츠밴드예요 이건 미니스톱 치즈타르트인데 진짜 맛있어요 완전 추천합니다  차는 주 뒤,2021.07.30. 19:03
275,에르메스 실버밀레루즈루프 실버,이렇게 자주 끼지만 처음으로 올려보네요오늘 체감상 제일 더운 것 같아서실실조합포브랑 밀레 오렌지밴드 세개 돌려쓰니브솔을 사고자 하나 색상 고민 개월째여름이다 보니 스포츠루프까지생각하는 아름다운 고민중입니다오늘 하루 고생하셨습니다잠시 후 조용히 퇴근해보겠습니다 ㅡ나 왜이리 탔지,2021.07.30. 18:32
276,지금까지의 워치,워치 입문한지 달 되었네요 ㅎ아직도 너무 좋아서 만원의 행복이라고 하고 있어요 ㅋㅋㅋ 알리발 스포츠루프 입니다 정품보다는 좀 긴데 쓸만해요 신나서 이리저리 바꿔봤어요 ㅋㅋㅋ 정품 사진은 안찍고 죄다 알리꺼네요 ㅋㅋㅋ 이것도 알리에서 사봤는데 알리치고 비쌌어요 만원 조금 안되게 샀어요 ㅋㅋㅋ결합하는 부분이 빡빡하고 손목 안쪽 보면 살짝 꺾이듯이 튀어나와서 좀 아쉽지만그래도 맘에 드네요 역시 알리 ㅋ 이건 실제 색상이 너무 밝아서 잘 안하게 되더라구요 클락콜로지 설정을 못해서 그냥 사진으로 박았어요 ㅋㅋㅋㅋ 회사 바탕화면도 바꿔보고 ㅋ 아직 너무 좋네요  이건 어제 ㅋ가죽줄 하나 좋은거 봐뒀는데 언제 살지선선해지면 사려구요 ㅋ스댕줄은 여기에서 몇분께 여쭤보고 추천 받았는데 아직 결정을 못했네요 ㅠ이러다 여름 갈듯 ㅋㅋ더운데 건강 조심하세요,2021.07.30. 16:50
277,ㅑ 제 첫 워치에요,손목에 팔찌빼곤 사줘도 안차는 시계를가끔 결혼식장갈때 에이치아워만제돈으로 제가직접 샀습니다스마트한 기계들을 똥멍충이처럼 쓰는 저이기에무난하게 로 샀어요ㅋㅋㅇ톡딜에서 할인쿠폰 받구포인트 천원 모아놓은거 탈탈 털어 나름 저렴하게 샀는데 제가 잘 쓸수있겠죠두근두근ㅎㄹㅅㄷ필름 좀따 오면 그때 개봉하려구요제 손목에도 잘 어울려주기를 가을이 오기전에핸드메이드 레더제품 파시는 인친님에게레더스트랩도 주문할꼬에요에르메스워치처럼 만들어 보겠어요,2021.07.30. 16:25
278,여름엔 밀레,역시 여름엔 밀레만 차게 되네요,2021.07.30. 15:37
279,ㄹㄹㄹ링블,링블입니다 좋네요,2021.07.30. 15:07
280,민트가 민트했다ㅋㅋ,드디어 도착한 민트 사이즈가 맞는건지는 모르게쒀여 백수 일차ㅎㅎㅎ 옆에 껌딱지가 있지만 둘이 늦게까지 늦잠자고 아점먹고 집안일하고 잠시도 쉴틈없지만집에 있는것만으로도 너무 좋으네여 몇일 안되는 휴일이지만 또 혼자가 아니지만 즐겨보렵니다ㅋㅋ 몽끼님 추천으로 드뎌 민트 브쏠 겟 해써염 근데 넘 딱맞는거 같기도 하고ㅋㅋ 아껴두었던 죠르디들 대방출ㅋㅋㅋㅋ 앱등이님 캬캬님 퍼플이님 공유 페이스들이예여 공유해주신 분덜 너모너모 감사해요ㅠㅠㅠㅠ,2021.07.30. 14:50
281,존버 들어갑니당,어제 워치 스댕 팔고 존버 모드 들어갔습니다좀 이른 감이 있긴한데 요새 코로나 때문에 나갈일이 잘 없어서 워치를 방치하고 있어서 그냥 값 조금이라도 더 쳐줄때 팔아버렸네요 워치 정말 잘썼고 나 는 디자인이 그대로라서 별로 뽐이 안왔는데 은 디자인 변경때문에 못참겟더라구요 각진거도 저는 이쁘더라구요 얼른 나왔음 좋겠네요ㅜ  사진은 잘 사용했던 워치 입니다,2021.07.30. 14:41
282,오늘의 페이스 인포그래프모듈,요즘 막바지 실험 한창이라 ㅡㅠ 타이머랑 스톱워치를 겁나 자주 씁니다그래서 출근 하면 바로 쓰기 편한 인포모듈퇴근 할때 원래 페이스로 샤샤샤,2021.07.30. 14:29
283,역시 메탈이 진리,제가 젤루 좋아하는 메탈스트랩,2021.07.30. 13:57
284,업뎃하고 줄 바꾸고 저희집 워치존,귀차니즘으로 페이스 바꾸는것도 시들여전히 조르디아까 업데이트 떴길래 후딱 하고 줄만 실리콘 땀 찬다고 루프로 바꿨어요노랑색 루프가 갖고프다 사야디그리고 겸사겸사 찍어본 워치존 원래 단서랍 한개 갖고 있었는데 동네 다이소 털어서 개당 천원에 몇개 사다가 이거저거 다 정리했어요바로바로 찾을 수 있어서 편해요가성비 짱,2021.07.30. 13:37
285,오널의 왓찌도 죨귀 죨디,하잏 귀엽죠스트랩과 정성스러운 깔맞춤 죠르디 다들 맛점하쉐이 점심 드신분들은 맛있는 아아 하세요우,2021.07.30. 13:30
286,오늘의 워치,사무실 출근하면 혼자서 근무하는 날이 많아웬만하면 편하게 입고 다니려고 하는데오늘은 금요일이니까 기분이라도 내고 싶어제 기준에서 신경쓴듯한  옷 차려입고 체인 브레이슬릿 워치로 코디했어요   실버 라인중에서 무게감이 있는 편이지만그래도 포인트 주기 좋아서 자주 착용하게 되네요 아사모 여러분들은 오늘 어떤 워치하셨나요,2021.07.30. 12:44
287,금요일 워치입니다,오늘만 일하면 한동안 휴가하지만 이번 휴가는 집캉스 ㅜㅜ,2021.07.30. 10:55
288,오늘은 이친구가 땡겨서,편의점갔는데 어떤분이 밀레니즈를 차고 있어서갑자기 이뻐 보여서 바로 바꿨습니다이래서 스트랩은 항상 많아야되나 봐요,2021.07.30. 10:48
289,오늘의 워치 큐빅입니다,제 기준 시중에 일반적으로 파는 서드파티보다는 조오금 비싸네요 몇만원 시중에 파는건 클락콜로지 이용시 제어센터알림센터가 잘 안내려오고 안올라와서 구매해봤어요 이렇게 퍼플을 보다보다에르메스 애플워치  아이폰 미니 퍼플 고민하다월달중 아이폰 미니 퍼플 깔맞춤으로 해서 돌아오겠습니다 눈에 아른거리면 결국은 사야하는것 같아요  에르메스는 생각보단 눈에 아른거리지 않았어요 보조배터리도 넉넉하다보니 클락콜로지 중간중간 충전이 불편하지 않았고 거의 카시오위주다보니 에르메스 사봐야 페이스 잘 안쓸것 같더라구요 ㅎㅎ 다들 즐거운 불금 보내세요,2021.07.30. 10:37
290,오늘의워치는 명품버전,우연히 유튜브보다가 워치스미스랑 워치애니띵 앱을 알게되서 해봤습니다 원치고 매우 만족스럽네요 ㅋㅋㅋ클락콜로지는 앱을 실행시키는 방식이라 별로였는데 이건 매우 만족스럽습니다,2021.07.30. 09:33
291,파랑파랑 시원한 워치,아사모에 정품 서프블루 밴드 매물 나와서 샀는데 이쁘네요ㅎㅎ여름이라 시원해보이고ㅎㅎㅎ스포츠 밴드가 여름엔 땀이 차지만 깔끔하고 이쁘네요,2021.07.30. 08:29
292,쓱싹쓱싹 폴리싱 해보기,안녕하세용 저의 소중한 워치스댕을 보낼줄 때가 되어서 처음이자 마지막인 폴리싱을 해보았습니다 허헣워낙 생활기스가 많기도 했고 많이 문지르지않아서 효과가 있을까 싶었는데 깨끗하게 물로 씻어주니까 생각보다 괜찮더라구요  유명한 케이프코드로 준비했어요 전투의 흔적 분정도 닦았는데 은근 힘드네여 많이 깨끗해져서 기분이 좋네요 ㅎㅎ 담주인이 누가될지 모르겠지만 저의 노고를 알아줬으면 하는 바램이,2021.07.30. 01:52
293,링블 질렀습니다,미개봉 중고로 에 구했네요 비싸지만 역시 멋집니다,2021.07.30. 00:39
294,밀레니즈 루프 조합,알루 스그 사용중인데밀레니즈 루프 살 때 색상 고민을 많이 해서구매하실 때 조금이라도 도움 되셨으면 좋겠어요 스그  밀레 그래파이트 실버 ㄹㅋ베젤링  밀레 실버 둘 다 다른 느낌으로 예뻐요ㅠㅠ  반대 조합 실버 베젤링  밀레 그래파이트 스그  밀레 실버 은근 잘 어울립니다저는 고를 수 없어서 둘 다 사버렸어요,2021.07.29. 23:49
295,스댕  뭔들,이제 곧 떠나 보내줄 워치스댕이에여 ㅜㅜ 반년동안 행복했엉,2021.07.29. 23:15
296,ㅋㅍ 중고 링크 브레이슬릿,ㅋㅍ 중고  보통 링블 도전해보겠읍니다,2021.07.29. 22:50
297,오랜만에 올려요,빡시게 일하고 퇴근길에찰칵,2021.07.29. 22:21
298,브레이드솔로 루프,차콜색상 말고 딱하나 더 산다면 다른색상은 어떤게 나을까요,2021.07.29. 21:30
299,스트랩 몇 개 소소하게 구매해봤습니다,밀레니즈는 정품으로 샀는데 막 끼는 용 뭐 다 막끼긴 하지만요 ㅎㅎ으로 호환품 몇 개 샀습니다충전기 거치대도 사은품으로 와서 좋네요 일단 요걸로 좀 버티다가 늘려보도록 하겠습니다 ㅎㅎ,2021.07.29. 20:19
300,오늘의워치,카페에서 도움받고 얻은 페이스와 함께,2021.07.29. 19:55
301,오늘워치,전 골드워치 사용했는데제가 못꾸며서 그런지 몰라두 그동안줄질 너무 어려웠어요그런데 오늘 드디어 실버 구매했습니다실버 딱 하나 남았다는말에 고민도없이 냉큼구매했어요근데 가지고있던 스트랩이랑 케이스없이찰떡인거 같죠저만의생각역시 실버가 깔끔하고 무난하게 줄질할수있는게 실버같네용 헤헿그래서 급하게 꾸며서 인증합니다워치만 봐주세요제 손목은 회원님들처럼예쁘지않으니깐요,2021.07.29. 18:21
302,어제의 워치,상큼하고 귀여운 조합 페이스가 정말 정말 귀여운데 시계 보기가 힘들어서 자주 못 쓰겠어요,2021.07.29. 17:59
303,베젤링 착용기념 오늘의 워치입니다,영롱하네요오랜 기다림끝에 구매한 베젤링입니다,2021.07.29. 17:14
304,오늘의 워치,맘편한 휴가날 오늘의 워치 올려봅니다모두 좋은 하루 되세요,2021.07.29. 17:09
305,국방색 워치,알리에서 주문한 솔로루프손목에 물들지 않을까 걱정했는데 괜찮은거 같아요깔맞춤 워치페이스 ㅎㅎ,2021.07.29. 17:06
306,하늘스럽게,일하다 말고 오랜만에 오늘의 워치 해보네요 여름이라 하늘색 배경과 줄질요즘 워낙 더워서 줄질하는것도 마땅치 않고어제까지 메탈 하다가 뜨겁기도 하고 여름이라 스포츠밴드로 왔는데 근데 땀채이는건 어쩔수 없네요ㅜㅜㅋㅋㅋ 몇일 하다가 밀레니즈루프로 다시 넘어가야겠어요 오후시간도 화이팅하시구맛있는 저녁드시고 코로나 조심하세요,2021.07.29. 17:03
307,뜨거워요 더워요 녹아요 ㅠㅠ,퍼퓸색 이뻐요,2021.07.29. 16:04
308,스트랩  미마존,티 퍽퍽나는투박하지만 절대 안전하게 생긴게맘에 듭니다,2021.07.29. 15:53
309,오랜만에,오랜만에 인증하는 오늘의 워치,2021.07.29. 15:41
310,운동 활동링 공유하실 분,운동 공유해서 동기부여 얻으실 분댓글에 이메일 남겨주시면 초대드릴게요같이 열심히 운동해봐요,2021.07.29. 15:31
311,첫 오늘의 워치  생트림님,안녕하세요 첫 오늘의 워치를 올려봅니다 ㅎㅎ다만 저의 워치가 아니고 제 여자친구 워치를저는 워치가 없어서 시티즌 으로 대신 차고 등장했습니다여자친구는 마르지엘라로 두두둥장다음에는 더 이쁜 시계랑 워치페이스로 등장하도록 하겠습니다 ㅎㅎ저는 시계가 개뿐이라 다양하게는 못보여드립ㅠㅠ,2021.07.29. 15:22
312,저랑 활동링 공유하면서 겨루기 하실 분 구해요,꾸준히 운동하고 서로 동기부여가 되어주는 분들 환영합니다저도 끝내주게 응원해드릴게요   댓글로 이메일 남겨주시면 초대 보내드려요,2021.07.29. 14:56
313,세로줄로 리퍼받았는데 더심하네요 ㅋㅋ,근데 물건없는게 더 스트레스라서 나중에 리퍼만료때쯤 리퍼받을려구요 그래도 되겠죠,2021.07.29. 14:20
314,애플워치 티타늄,오늘 당근에서 상태 너무좋은 티타늄워치 에 가져왔어옇ㅎ 무광간지 너무 이뻐요,2021.07.29. 14:11
315,색다른 구도로 오늘의 왔찌,운동메이트가 찍어주샸음다워치님 사진 끄트머리에 겨우 나오는 바람에그래도 팔 길어보이고 긴팔원숭이 같기도 하고좋네요 긍정마인드여러분 더위조심하세요,2021.07.29. 13:19
316,민트실패ㅠ,마지막 출근 피로누적오늘의 워치 실패시켰지요 스트랩을 마지막날 민트빠의 진면모를 보여주기 위해 퍼플이도 있고 베이지도 있고 밀레도 색깔별로 있으니 민트로 올깔맞춤 해보쟈 했는데ㅠ 스트랩이 안와서 결국 베이지ㅋㅋ 반지만 끼워봤네여ㅋㅋ 다들 맛점하세요 저는 마지막 점심 뭘 먹을지고민 좀 해봐야겠네여ㅋㅋ 캬캬님 콜로지ㅠㅠㅠㅠ 요것도 귀여워서 받아서 적용해봤어욤ㅋㅋ,2021.07.29. 12:55
317,아침 공복 운동 실패퓨,아침 공복 운동 좋다는 말에일오나자마자 운동 나왔다가넘 더워서 음료만 사고 다시 집에 왔네요ㅋㅋㅋ운동은 저녁에 다시 도전하는걸루 운동 후ㅎㅎㅎ 먹는 초코 대존맛탱,2021.07.29. 12:48
318,출근길 갓골댕이 모음,출근길 갓골댕이 워치입니다몇개 찍어놓은거 자랑하고 사라지겠습니다제 눈엔 영롱 그자체역시 골댕이  뭔들 페이스  노상관 멋져버립니다다들 휴가 잘 보내세요,2021.07.29. 12:07
319,오늘의 워치,ㅇㄹ에서 구매한뒤로 너무 맘에들어서요즘 이거만 차게되네여 예비용으로 개 더 주문해버렸어여 ㅋㅋㅋㅋㅋ,2021.07.29. 11:45
320,스트랩 많으신 분들은,매번 갈아끼우는거 안귀찮으세요워치 구매한 지 이제 년정도 되어가는 것 같은데초반엔 신나서 줄질도 열심히 하고 이뻐보이면 왕창 사놨었는데막 가죽이나 밀레나 투명도 껴보고 신나서 이거저거 했는데쓰다보니 처음의 그 감흥이 사라졌달까 교체하려니 귀찮아서 쓰는 것 만 쓰더라구요ㅋㅋㅋ그 많던 스트랩들은 서랍 속으로그나마 운동 갈 때라도 스포츠루프 갈아끼우긴 했었는데코로나더위로 인해 요즘은 운동도 안감한달째 같은거만 끼고 댕기네요ㅋㅋㅋ,2021.07.29. 10:58
321,링블 짭,알리에서 링블짭 몇가지 샀다가 매번 실패했었는데 카페에서  꺼가 좋다해서 한번 사봤어요다른 짭이랑은 결이 다르게 좋네요 ㅎㅎ블랙 무광이라 알루미늄 모델이랑 잘 어울리는거 같아요 ㅎㅎ맘에 듬,2021.07.29. 09:21
322,오늘의 워치,오랫만에 오늘의 워치너무 덥네요 요즘,2021.07.28. 22:39
323,ㅇㄹ 스포츠 루프좋네요,밀레리즈 끼다가 ㅇㄹ스포츠루프 써밋화이트 사봤는데 좋네요 가볍고 운동할때 좋네요,2021.07.28. 22:38
324,화면에 따른 워치 배터리 소비량 간단 비교,안녕하세요 워치를 아직 사용한지 얼마 되지 않았지만 배터리 소비량을 간단히 비교해봤습니다낮동안의 워치 실 사용량 이런 부분에 따라 차이가 나겠지만그냥 제 개인적인 간단비교로 봐주십시오낮에 회사에서 이리 저리 연락오는 건 비슷하다고 가정하구요 완충해서 출근하면서 착용하고 퇴근하고 와서 확인해봤습니다결론은 그냥 기본 화면 글자 몇 개 없는 거랑  페이스랑 차이가 좀 나네요기본페이스는     페이스는  네요 아무래도 가 배터리 소비가 크긴 크겠지요,2021.07.28. 21:06
325,월 목표 달성했어요,월초에는 이게 되려나 했는데 되네요 ㅋㅋ다음달은 뭐가 나올지 기대됩니다,2021.07.28. 20:24
326,저렴이 에르 스트렙 도착,깔맞춤 하니까 마음에 드네요,2021.07.28. 19:00
327,구매 후 첫줄질 및 페이스,애플워치 블랙메탈 스트랩링케 베젤링롤렉스 페이스 조합입니다,2021.07.28. 16:59
328,스트랩 선물 받았어요 ㅎㅎ 전남친,스트랩 주문하고 며칠 후에 헤어져버렸지모에요남친 주려고 했는데 몇일 후에 전남친이 되어벌임 소리질뤄 무야호  취소하긴 뭐해서 사이즈 바꿔서 제가 걍 차는데 네  이쁘네요 ㅜ ㅋㅋㅋ ㅋㅋ ㅋㅋㅋ,2021.07.28. 16:31
329,워치줄질,워치사용할때 있던 밴드들 분양하고 사용중인데 밴드 이정도 남았네요ㅠㅠ뭔가 더 사고싶은데 뭘 사야할지 모르겠네요 ㅋ나이키밴드는 박스에 고스란히 넣어놓고  환공포증ㅠㅠ현재는 밀레니즈루프 실버색만 주구장창 쓰고있습니다ㅎㅎㅎㅎㅎㅎ,2021.07.28. 14:44
330,메탈스트랩 왔어요,며칠 전 주문한 메탈스트랩이 와서 착용해봤습니다줄일 수 있는만큼 줄였는데도 저한텐 살짝 크네요그래도 만원도 안되는 가격에 이 정도 퀄리티면 가성비는 너무 좋네요,2021.07.28. 14:30
331,오랜만에 오느르 왓찌,오랜만에 찍어본 오널의 왓치입니당훼이수 귀여움 하늘을 찔러버렸쬬케이스 스트랩 깔맞춤은 기본이죠,2021.07.28. 14:27
332,수요일 워치입니다,오늘은 검은색 스트랩에 검은색 페이스입니다 ㅎㅎ그나저나 오늘 코로나 확진자 명 가까이 나왔던데다들 코로나 안걸리게 조심하세요 ㅜㅜ,2021.07.28. 13:44
333,에르메스 아뜰라주 더블투어 포브가,어렵게 구해서 드디어 도착을 했는데이 시원 섭섭함은 뭔지이걸 내가 차도 되는 거였어 이런 느낌이네요 ㅋㅋㅋㅋ개봉이 무섭습니닼ㅋㅋㅋ,2021.07.28. 13:30
334,워치 쌩으로 쓴지 달째,사진으로 보이는 거보다 심함ㅋ애케플 안들고 필름도 케이스도 안 쓰고 그냥 들고다녔는데실기스가 장난아니네요 ㅋ쌩으로 쓰시는 분들은 다 애케플 들으셨나요나중에  나오면 은 보상판매로 팔고 세대 사려고 했는데기스 많으면 보상판매 가격에 영향이 있으려나요 쩝이럴줄 알았으면 필름이라도 붙일 걸 그랬네요,2021.07.28. 12:04
335,베이지 스포츠 루프,베이지 매니아인데 너무 이뿌네요손목이 두꺼워 반 정도밖에 안 돌아가는 루프여,2021.07.28. 10:42
336,지샥에여,지샥에요지샥매니아였어서 보자마자 질렀는데 아주 맘에드네요ㅎㅎ,2021.07.28. 10:11
337,매일 출근도장,오늘은 구매하고 두번째 착용하는 스트랩음요아이는 슈피겐 러기드아머인데일체형이라 손이 잘 안가더라구요글구중요한건 워치 끼우면 붙여놓은 필름이 밀려서 뜹니다그래서더 손이 안가는글두 간만에 요아이두 이뻐해주려고 데꼬나왔다요오늘도 시원하게 수요팅,2021.07.28. 08:36
338,애플워치,살까요오,2021.07.28. 00:01
339,메종키츠네 워치,오늘은 메종키츠네 워치인데이 스트랩을 산지가 세 달이 넘었는데 지금까지 딱 한번 착용했어요ㅋㅋㅋㅋㅋㅋ 그냥 보면 예쁜데 이유 모르게 손이 가지 않는 스트랩  저두  어플을 결제해서 사용해보았습니다 기본 인포그래프 모듈 페이스에다가 어플로 사진을 넣었어요  착용하면 이런 느낌  스트랩이 커서 평소 차는 위치보다 약간 내려가있네욤   이건 구매했던 당시에 올렸던 사진인데 예쁘긴 예쁘거든요 근데 손이 안 가요 ㅋㅋㅋㅋㅋ 여름이라 그런가  가을 겨울에 잘 활용해보는 걸루ㅎㅎㅎ,2021.07.27. 21:19
