,내용,등록일
41,s8 4년 넘게 쓰다가 드디어 맛이 가버려서 주말에 대리점 가서 바꿨습니다원래 폰에 큰 관심이 없어서 발열이나 흑화이슈같은 거 몰랐고 대리점에서 할인율도 높다하고 최신폰이니 막연히 좋겠거니 해서 골랐어요21기본으로 할까 하다가 저빼고 가족 모두 노트유저라 큰게 좋아보인다고 해서 울트라로 마음이 기울었구요 손목을 아껴야하는 상황이라서 무게가 좀 걱정됐지만 가족이 사주겠다해서 고맙게 받았죠나중에 알고보니 울트라가 이래저래 더 좋은 부분이 많던데 대리점에선 차이가 카메라밖에 없다고 자꾸 강조해서 기본 샀으면 후회했을 거 같습니다 일단 21시리즈 중에서 울트라로 고른 건 만족합니다디자인이나 기능 부분은 정말 만족스러워요 8쓰다가 이거 쓰니까 신세계가 따로 없습니다 짧게 써서 그런건지 모르겠지만 무게도 크게 불편할 정도는 아니었어요 누워서 폰할때 조금 더 무리가 가는 정도그런데 발열이첫날 개통도 안했을때 게임 한판 돌렸는데 무슨 고사양 3D 게임도 아니고 퍼즐 게임 10분했나 뜨거워요항상 s시리즈만 써왔는데 그 전에는 거의 못 느껴봤던 온도였습니다산지 하루된 폰이 그래서 놀라서 찾아보다가 이 카페까지 가입하게 됐습니다저말고도 겪으신 분들이 많더라고요 벤치마크나 온도체크도 처음으로 해봤습니다 배터리 학습기간이라 그런지 상당히 안 좋게 나왔고 온도도 높을땐  40 중반까지 올라갑니다 환경요인이라고 대부분 뜨고 사용환경이 좀 덥긴 해서 대체로 32도 언저리인데 이게 영향을 많이 미칠까요 근데 같은 환경에서 8은 안그래요폰 한 번 사면 오래 쓰는데이대로라면 금방 바꾸게 될 것 같습니다업데이트 하다보면 개선이 되겠죠나머지는 정말 마음에 드는데 발열이 계속 이 상태면 실망할 것 같습니다삼성에서 갈아탈만한 회사가 있을까요 애플은 디자인이 취향이 아니라서 고려해 본 적이 없는데 앞으로 어떻게 해야할지 고민이 됩니다,2021.04.08. 17:56
42,21 플러스 초기 출시때 구입해서 쓰다가 오늘 갑자기 아침에 전원은 살아있는데 액정이 나가는 불량 증상이 나타나서 센터 방문했습니다기사님이 좀 보시더니 초기에 출시된 제품이 불량이 좀있어서 이런 증상 생기신분들 몇몇 있다네요방문하면 액정 새거로 교체배터리 일체형이라 배터리 까지 교체 필름 도 붙여서 나옵니다어떻게보면 1년좀 넘었는데 무상으로 싹다 교체하니 꿀이네요 ,2021.04.07. 22:19
43,2017년 V30을 구매하고 정말 만족하고 썻습니다옛날부터 lg폰 유저여서 다음에도 lg폰을 사용할 예정이였으나 lg플래그쉽 스마트폰 단종과 사업종료로약정이 다 끝나고2021년 처음으로 한번 아이폰이 써보고 싶어서아이폰으로 바꿧습니다그러나ios 특유의 폐쇄성으로 인해 여러모로 불편함을 겪었고 21세기에 인터넷 다운로드 및 노래다운하나 못하게 막음 파일관리 절대 불가능 공인인증서 연동안됨 등등휴대폰도 어떻게보면 작은 컴퓨터인데 인터넷에서 다운로드 불가능하고 노래도 자기가 마음대로 다운을 못한다정말 어이가 없었습니다 원래 ios가 이런가 하구요그래서 2주동안 사용하면서 결국 못참고 새로나온 갤럭시s21 울트라로 바꿨습니다안드로이드 운영체제가 확실히 윈도우 운영체제와 거의 동일할 정도로 유사한 점이 많고 확실히 개방적이라 편했습니다그러나그 기쁨도 잠시 저에게 다가온건 핫팩모드와 엄청난 쓰로틀링 이였습니다120만원이라는 금액의 거금을 주고 구매한 휴대폰인데게임도 심심치 않게 하는 저에게 있어서는 정말 최악이엿습니다차안에서 휴대폰으로 네비게이션과 음악재생을 하고 있었습니다그러자 갑자기 터질듯한 온도와 이로 인해 손이 화상이 입을정도로 사용이 불가능했고네비게이션은 온도상승으로 인해 강제종료 되었습니다저는 어이가 없었습니다 고작 네비게이션과 음악재생만 했을뿐인데 온도상승으로 휴대폰 사용이 불가능했습니다일상생활하면서 사용하는 사소한 어플리케이션을 쓰는데 핫팩모드 작동으로 휴대폰 사용을 못하게 했습니다어이가 없었습니다 그리고 정말 화가났습니다 이게 휴대폰인가 하구요저는 가끔씩 게임도 즐겨하는 편입니다 최신폰이라 게임은 당연히 잘돌아갈거라 믿었습니다그러나 리그오브레전드 10분 정도 플레이후핫팩모드는 기본이고 쓰로틀링이 걸려서프레임이 30120을 껑충껑충 왓다가 했습니다플레이가 거의 불가능했습니다저는 정말 화가낫지만 돈이 돈인지라 계속 참고 지금까지 쭉 사용하였습니다그리고 시간이 흘러 6월1일에 단말 발열 개선이라는 소프트웨어 업데이트를 삼성에서 해줬습니다아 드디어 해결이 되는구나 저는 이때동안 겪엇던 일들이 이제서야 조금 해결이 되는것 같아서 다행이다 라는 마음에 바로 설치를 하였습니다그러나전혀 해결되지 않았습니다여전히 온도가 너무 높아 일상적으로 사용이 제대로 불가능 했습니다게임을 테스트 해보았습니다리그오브레전드를 플레이하는데 업데이트 전보다 더욱 심하게 쓰로틀링이 걸렸고오히려 더 렉이 심해졌습니다원래 프레임이 30120 에서 왔다갔다 했던것이10분후 30프레임 이하로 고정으로 게임자체가 아예 불가능해졌습니다진짜 저는 너무 화가났습니다 삼성에 대한 없던 원망까지 쌓였습니다저의 120만원은 어디갔습니까 이게 정말 120만원의 가치를 하는 휴대폰이라고 해도 되는겁니까s21 업데이트로 발열을 고치고 쓰로틀링 걸리는거 해결되지 않는이상 저는 언젠가 이휴대폰 생명이 없어질지도 모르겠습니다그리고 이후에 출시되는 스마트폰도 이런상황이 계속 생긴다면삼성에 크게 데여서아마도 저는 더이상 삼성휴대폰 사용안할것 같습니다고발당하지 않은게 다행일듯 합니다삼성은 제발 휴대폰좀 제대로 만들어주세요 이러다가 중국폰보다 못한수준이 될지도 모릅니다,2021.04.07. 09:45
44,5월 마지막주쯤에 자급제로 구매하였습니다처음에 쓰다가 발열은 그럭저럭 버틸만 했는데 여름 계절이 오니까 폰이 뜨끈하더라고요발열 없으면 좋은 폰인데 아쉽네요배터리는 생각보다 오래갔습니다디자인은 마음에 드네요밑에 사진은 3개 모아서 찍은 사진입니다 ,2021.04.07. 00:28
45, 완전사용전 27도구요 성능은 이정도구요 1차후바로측정후 6도가올랐구요 점수변화입니다 2차측정후바로측정한뒤36도까지올라갔구요 다시바로 긱벤치로측정해본결과팍떨어지는 점수죠 대신온도는 02도만올랐습니다3번측정해보니 열이 한번나기시작하면 완전식지않는이상 성능은 최상으로돌아오지않은듯합니다,2021.04.06. 13:01
46,아이폰 xs 256에서 넘어왔구요디자인은 너무 예쁜데 발열문제가 많길래정말 많이 고민하고 샀어요담달에 나오는 플립은 너무 제 스타일이 아니었거든요결론적으로 왜 고민했나 싶을정도로 넘 만족중입니다고민하시는 분들 사세요 제가 뽑기운이 좋았는지는모르겠지만 발열도 괜찮구요 정말 좋아요,2021.04.06. 04:59
47,21울트라를 사용중이고 기계값2년약정으로 쓰고있습니다혹시 이걸 중고로 판매한다면 유심빼고초기화시켜서 기계만판매하나요 그럼 할부승계같은건 어떻게 하는건가요 정말 저에겐 실용적이지못해서 판매하고싶네요,2021.04.05. 11:08
48,갤럭시클럽 호구계약끝나고 했네요폰자체가싫진않었는데  호구계약 날짜늘수록손해라서울며 겨자먹기로바꿨네요그리고 잔상보인데서 액정값255000원 물고바꿨습니다,2021.04.03. 12:07
49,전 원래 삼성폰만 써온 사람이고후회한적 한번 없던 사람이라이번에도 집 인터넷 바꾸면서 폰도 바꿨습니다많이 알아보지 않았죠원래 노트 좋아하는데전 모델  s9를 잘 써와서이번에도 s시리즈도 사야겠다 생각하고울트라랑 고민하다 그냥 그립감이 좋은 21로 했습니다근데 가벼워도 넘 가볍네요전 무게감있는 폰을 좋아하는 사람이었더라구요만질때마다 불안한 느낌이 들어요터치랑 반응속도 해상도는 정말 좋은거 같아요이쁘구요근데정말발열감과 충전 속도는 짜증이 납니다처음 켤때부터 발열감과영통 하나했는데 뜨거워지고충전할때랑 개통하고 이거저것 하다보니 금방 오르더라구요아직 전모델 폰이 있어서 같은 상황을 비교해보니 너무 뜨거워요 무섭습니다  다른 후기들 중 게임안하면 괜찮다길래전 게임을 안해서 어느정도는 괜찮을줄 알았어요충전도 전모델에 비해 느리고금방 떨어지구요원래 폰 쓰면 3년은 기본으로 정말 깨끗하게 쓰는 사람입니다  근데 이건 2년만 별탈없이 쓰길 바라게 되더라구요첨으로 폰사고 후회했어요담부터 폰살때 미리공부하라는 교훈을 얻었습니다내 삼전 주식 이 땡볕에 내비로도 사용해야되는데걱정입니다,2021.04.01. 10:55
50,발열문제로 많아서 저도 9플에서 21플로 넘어온지 2틀만에 한번 실험해보자 하고똑같이 동영상 켜놓고 같은시간 동안 9플36도 21플 40도로 가네여  그냥 그러려니 써야겠어여 그게 정신건강에 좋을듯하네여,2021.03.28. 10:20
51,집에선 357도 유지했는데밖에 빛 받으니 인터넷사용시 으악 이네요  너무뜨겁다 ,2021.03.25. 13:47
52,갤s21 기본에서 큰 화면 쓰고싶어 울트라 중고 구매 후 넘어 왔습니다기본적으로 하드하게 쓰는 스타일은 아닙니다배터리도 나름 만족하고 s21보다 더 빠릿하고 부드러운것 같아 만족입니다발열 부분에서도 휴대폰이 터질것같다 란 느낌보다는 따듯하네 정도무게가 확실히 기본 모델보다 많이 나가지만 평소에 단련된 팔근육때문인지 부담은 안됩니다,2021.03.21. 22:39
53,초반에 쓸때는 발열 못느꼈는데최근들어 쉽게 발열이 느껴지네요 이 때문인지 조금씩 버벅거려요이러다 폰 터지는건 아닌지디자인 편의성 사이즈만 보고 아이폰에서 넘어왔는데발열참어찌 안되나,2021.03.17. 00:42
54,S10 5G에서 S21 울트라로기변한지 일주일 정도 됐네요삼성디지털프라자에서9만 원 요금제 6개월 유지 조건으로할부원금 601000원에 구매했습니다KT랑 삼디프랑 알아보는데KT는 9만 원 요금제 써도 877000원인데삼디프는 601000원에 준다해서고민 없이 바로 구매했네요노트 20 울트라랑 고민 좀 했는데QHD 120Hz 유무 때문에발열 이슈에도 S21 울트라를 선택했습니다현재 일주일 써본 결과제가 뽑기를 잘한 것인지는 모르겠지만걱정했던 것만큼의 발열은 없더라구요진짜 대낮에 대놓고 햇빛이 그대로 내리쬐는 곳에서오래 쓰는 정도만 아니면사실 기존 S10 5G하고의큰 발열 차이는 못 느끼고 있습니다게임을 안하는 것도 아니고리니지2M 오딘 같은 나름 고사양 게임도 좀 하고넷플릭스나 유튜브 등 영상도 오래 보고하는 데도 딱히논란이 날 만큼의 발열은 전혀 못 느끼고 있습니다여러분은 어떠신가요,2021.03.14. 14:53
55,사진게임일절안합니다그냥인터넷만 하는데 체감발열이 진짜 너무심합니다 정말심해도 너무심합니다근데 서비스센터가니 정상이랍니다발열이슈없냐니까 없답니다 꼭지돌뻔했습니다아이폰가는게 중요한게 아니라 이런대처를 보니까 안좋은마음을 먹게되네요,2021.03.14. 09:37
56, s21울트라 사용중입니다초기 일주일은 발열심했는데 지금은 무리없는 발열인듯합니다아 카메라사용할땐 한숨만 에휴,2021.03.05. 15:43
57,S21 팬텀블랙 사용한지 3개월정도 되었습니다항상 케이스 끼우고 잘 사용하다가 발열때문에 집에서는 케이스를 잠깐씩 빼두었는데 떨어뜨리거나 거친 표면위에 둔적도 없는데 테두리가 일자로 까였습니다 S21 시리즈의 문제는 발열만이 아닌거 같네요 서비스 센터에서 처리가 될런지 두통이 옵니다,2021.03.04. 16:54
58,a52 구매하려고 존버하다가 일본에는 출시하고 국내에는 반도체 수급 영향으로 출시 미뤄진다는 기사 보고 포기하고 s21플러스로 구매했습니다 이러니 저러니 해도 괘씸하긴 하더군요 이미 6월자 발열관련 패치가 배포 된 후에 구매하였기에 발열 관련하여는 충분히 인지를 하고 있었습니다 폰게임을 하지 않는 부분이 컸고 무엇보다 어떤 군인분이 s21플러스 실버를 들고 가시는데 너무 예뻐서 램이고 ap고 관심 없이 바로 무지성 구매 했습니다이전 g8을 사용했었는데 안팔리는 이유가 있더군요 s21플이 모든 면에서 더 만족스러웠습니다 굿락의 자유도를 맛보고 나니 g8을 서브폰으로도 못쓰겠어서 g8을 팔고 원래 팔려 했었던 s7을 서브폰으로 쓰려 합니다 s21시리즈를 구매하시는 모든 분들은 발열 관련하여 걱정을 하실거고 저 또한 그랬는데 오히려 저는 g8이 더 뜨거웠습니다 s21이 다른 폰들에 비해 유의적으로 더 뜨거운지 모르겠더군요 카페에서 잊을만 하면 벌어지는 너무 뜨겁다와 vs 난 괜찮은데의 소모적 전쟁이 왜 일어나는지도 알 것 같았습니다 물론 문제가 있는 폰이 맞고 그에 대한 삼성의 대응이 소비자들의 기대에 크게 못미친것 또한 맞습니다 하지만 저는 발열이 너무 정상적이서 정말 문제가 있는 수준의 발열이 있는 경우는 일부이고 이슈가 붉어지니 그다지 높은 온도가 아님에도 자기 폰을 뜨겁다고 생각하는거 아닐까 라고까지 생각했습니다하지만 어제 처음으로 겪어 봤습니다 밖에서 폰을하다가 주머니에 넣었는데 케이스를 꼈음에도 불구하고 손난로마냥 뜨겁더군요 이게 뭐지 하면서 폰을 꺼내보니 놀라울정도로 버벅였습니다 120주사율은 커녕 12주사율이 된 폰을 보니 카페에서 그렇게 s21에 분노하시던 분들이 말하던게 이거였구나 깨달았습니다 모든 앱을 종료하고 잠시 그냥 놔덨더니 다시 정상적으로 작동하긴 했습니다저에게는 여전히 만족도가 높은 폰이고 다시 돌아간다 해도 s21플 실버를 사겠지만 s21 발열 이슈는 그 정도와 발생 빈도에서 무시 할 수준은 아니라는 것을 구매를 생각하시는 분들은 고려하셔야합니다 이런 날씨에 야외에서 게임이라도 했다간 어마어마 할 듯 하네요,2021.03.04. 09:52
59, 오우야 고구마 구워도될듯,2021.02.23. 16:38
60,s20플 1년정도 사용하다s21 기본 4개월정도 사용중입니다 지금 많은 분들이 걱정하시는게 뭔가하면 s21 발열입니다 그런데 발열 제가 여러커뮤니티 돌아다녀본 결과 s20 발열 비슷합니다 근데 문제는 같은 발열 대비 s21이 스롤링이 더 심하다는 거죠 물론 비정상적으로 발열 심한폰 있죠 그런데 그건 어떤 폰이나 나올 수 있습니다 그런데 그런폰이 나왔을 때 교체를 안해주고 일단 버텨보려고하는 삼성의 대응이 문제죠  각설하고 문제는 발열 그 자체라기보다는 그로인한 강한 스롤링 그로인한 성능하락이 문제가 되죠 여기서 많은 분들이 하는 이야기 게임 안하시면 s21 사세요 가 이해가 됩니다 스롤링 쎄게 걸리고 발열나도 게임안하면 그냥 쓰는데는 지장없숩니다그럼 저는 만족하느냐 일단은 Yes입니다1 화면 화질이 120hz에서 깔끔합니다  s20은 화면이 좀 어색하다하나 그리고 번인이 좀 빨리오는 이슈가 있는것같아요 제가 사용한것도 7개월 사용하고 상단바 번인와서 보정받았습니다 뭔가 120hz고정이 문제가되는것같기도하고요 2 지문인식 스트레스 안 받습니다3배터리는 s20플보다 화면도 작은데 비슷하게 가서 만족합니다 4 손이 작은 편인데 휴대성 가벼워서 좋고요누가 다시 s20플이랑 바꾸자 하면 저는 그냥 쓸랍니다 장점이 저한테는 맞고 단점도 저한테는 상관이 없는거라서요,2021.02.23. 10:01
61,게임잘안하다가 요즘 폰게임 살짝시작했는데진짜 렉오지게걸리네 시작하고 한10분지나면 존나게 끊겨서 열오지게나고 할수가없음 개쓰레기폰,2021.02.22. 17:57
62,2박3일고민끝에발열문제있어도디자인때문에 너무끌렸던 s21플러스로했어용가게사장님께서 몇개꺼내시길래제가직접손으로골랐어요다행히바이올렛이있었고뽑기운이라는데제가뽑아야남탓안할듯해서요근데 저겜은원래안하고 하루종일 개통하고나서인스타눈팅이나 카톡 인터넷검색 넷플릭스도1시간가까이봤는데소프트웨어 업뎃할때 진짜폭발하는줄알고근데지금까지열이확식고난뒤에는괜찮네요확차가운게아니고 폰좀잡고있음 나는미열정도요전에갤노트8썼는데 그때도폰많이붙잡고있음미열은있었거든요아무튼3일지나거나일줄뒤에 발열심하시단 글도봤는데조마조마하며 폰을다뤄봐야겠습니당후회해도 제가쓰고픈거쓰는게 맘편할거같아서 s로넘어왔습니당앞으로잘부탁드려요 정보도많이얻어가겠습니다감사합니당근데카메라진짜넘 좋아요저는진짜차고넘칩니다 밥먹고나와서 한번찍어봤어요,2021.02.14. 23:21
63,저는 부모님께서 최신모델로 사주셨습니다 발열은 대부분 전면 카메라 쓸때 나고 대부분은 열이 나지 않습니다 물론 다른 사람마다 다르겠지만 디자인 램 cpu문제 이긴 하나 속도는 매우 빠릅니다 후면 카메라는 좋습니다 아이폰으로 갈아타고 싶은 마음이 들긴 했지만 삼성페이 때문에 못갈아타겠더라구요 지금 보니 저는 S21도 괜찮다고 보네요,2021.02.14. 16:06
64,전 자급제 S21 울트라 한정판 티타늄 512G 쓰다가옆면 도색된 부분이 떨어져서서비스센터 갔더니유료로 수리 받았네요 ps 열이 문제일까요,2021.02.06. 15:50
65, 두기기 모두 최대한 비슷한 사용환경에서 사용 후 측정한 수치 입니다혹시나 저도 헷갈릴까봐 팝업으로 휴대폰 정보띄워놓고 캡쳐해봤 습니다 수치로만 보면 CPU 쓰로틀링이나 발열정도나 큰 차이가 없어보이는데 실제로 그럴진 잘 모르겠네요 ,2021.02.02. 13:26
66,7월3일에 바꾸고 한 2주썼네요굉장한 라이트유저여서 발열 별로 못느꼈습니다상자엔 2021년6월제조로 적혀있네요 그래서그런가 그 발열개선 업데이트가 안뜨더라구요처음에 데이터옮기고 앱 복사하고 설치하고 그땐 엄청뜨거웠어요 S10 LTE 쓸때 만큼이나 뜨거워서 그러려니했어요 굉장히 뜨겁더라구요 그땐 케이스도 안꼈었어서 전 백그라운드앱 제한 3개정도로해놓고 카톡멜론궁수의전설유튜브 말곤 안합니다 카메라도 거의 안쓰구요밖에서 폰사용할 때는 미지근한게 느껴지는데 그외엔 처음에 데이터옮길때처럼 엄청뜨겁다고 느껴진적은 없었네요플랫 디스플레이 넘 좋네요  배터리는 확실히 용량이커서그런지 오래가네요전 생각보다 이쁘고 라이트유저라 굉장히 맘에 드네요 ,2021.02.02. 12:01
67,S21 구매했습니다 엄청 예쁘네요처음엔 성지 라는곳에 갔다가 이래저래 짜증나는 일 있어서 개통 철회하고 중고나라에서 미개봉 중고 사려다가 찜찜해서 HI 마트 온라인몰에서 아래와 같이 할인 받아서 구매했어요99900080000쿠폰74000카드청구할인버즈플러스사은품당근판매80000L포인트40000해서 725000원에 구매했어요 L포인트는 이번달까지 네이버 페이로 변환가능한데 네이버페이는 통장에 현금으로 전환가능하더라구요포장 완전 짱짱하게 와서 기분 좋았습니다 몇일 사용했을땐 발열은 없었는데 좀 더 지켜봐야겠네요,2021.02.02. 10:14
68,S21 노말입니다발열이야 뭐 원체 다들 심하다 그러고 가장 크리티컬한 단점인 만큼 어느정도 감수하고 쓰자라는 생각인데 온도를 보니 다행히 40도 이상으로는 안 올라가더군요평균적으로 3237도 정도 유지하는듯 하고 에어컨이나 선풍기 앞에서 쓰면 발열 많이 못 느꼈습니다 충전중에 쓰면 좀 뜨거워져서 405도까지는 나오네요저도 스펙을 크게 중요시하지 않는 일반 소비자며 사용환경이 메신저 SNS 웹서핑 은행업무 삼성페이 카메라 정도가 끝이고요게임은 일절 안 합니다일단 저는 만족하면서 잘 쓰고 있지만 삼성을 대표하는 플래그십이 이런저런 이슈로 인해 논란이 많다는 점은 안타깝네요 부디 내년 S22는 조금이라도 개선된 모습을 보여주길 바랍니다,2021.02.01. 10:00
69,제곧내 입니다 발열이야 더 이상 언급하기 귀찮습니다 기계인데 발열 물론 생길 수 있으나 적정 수준 이상으로 올라 사용을 중단해야 하고 기능이 저하되고 말도 안되는 것 같습니다 아직 손에서 터지진 않았기에 현재 손으로 이 글 작성 중이네요근데 흑화까지 오니까 이거 사람 미칩니다 흑화 또한 남들도 있던데 라고 생각해야 한다는 점에 대해 분을 삭힐 수 없습니다5월 말이었나 책상에 가만 앉아 사용하던 폰 액정이 갑자기 정말 갑 자 기 나가는 겁니다 침수 떨어뜨렸거나 외부충격 받은 적 없습니다 그냥 갑자기 맛탱이가 가네요 유튜브 시청 중이었는데 갑자기요 흑화는 듣도 보도 못했던 현상이라 카페에서 언급이 되어도 클릭 안해봤는데 친절하게도 제 폰이 알려 주더군요 마 이게 흑화다센터 내방했더니 고객님 말씀대로 외부 충격 등 전혀 없어 보인다 무상수리 도와 드리겠다 라며 수리를 진행해준 것에는 감사합니다만 한가지 드는 생각이 험하게 다루었거나 떨어뜨림 등으로 인해 상처가 있는 상태로 갔었다면 무상수리가 되었을까 싶습니다 분해 해보면 전적으로 기기 탓인지 고객 과실인지 확인이 가능할지 모르겠으나 깨끗이 쓴 상태에서 이런 일 생겨 다행이구나 싶더라구요 아니 다행은 무슨 다행 나 원 예기치 못한 지출 있었던 것 생각하니 갑자기 머릿속에 흑화가 오네요 기름값 왕복시간 등등지나치게 친절한 이번 S21 마 이게 흑화다 재수강도 시켜 줍니다 아버지가 방에 오셔서 폰 보여주시며 이게 왜이러냐 하시는데 축하드린다고 흑화 당첨 이라고 까지 말씀은 못드리고 새 폰인데 왜그럴까요 하며 센터 모시고 갔습니다 진짜 스크린 빛 들어오는 부분 하나도 없더라구요 완전히 흑화 저보다 폰을 깨끗하게 쓰셔서 당연히 스크래치 하나 없었기에 일단은 무조건 무상이다 안심하고 기사님께 말씀 드렸습니다 보시듯 상처는 전혀 없다 앞에 제 폰도 그랬었다 미치겠다 재고확인 후 수리 도와준다 하셔서 기다렸다가 받긴 했는데 여기서도 한 번 머리에 흑화 올 뻔 했습니다 액정재고 문의차 전화를 아무리 해도 안받는겁니다 요즘 무조건 뭐 전화량이 많다 기다리겠냐 번호 남기겠냐 멘트 나오던데 어쩌겠습니까 믿고 기다려서 안내 받아 왔었습니다 근데 이번 삼성은 안내받은 대기시간 넘어도 연락도 안와 오긴 커녕 전화 끊겨버리고 세 번을 그러길래 그냥 센터로 갔죠 근데 재고가 하나 있고 예약이 있답니다 수급을 해두지 않은건지 흑화가 너무 많아 소진이 빨리 된건지 무튼 하 전화도 안되고 재고는 넉넉치 않고 예약되어 있다 하시더니 수리를 해주긴 했는데 이것 참 참입니다참고로 6개월 정도 전 사전예약으로 두 대 구매해서 생신 선물로 드리고 제가 한 대 쓰고 있는데요 다음은 어떤 현상을 겪게될지 아주 두근두근 합니다 이번엔 어떤 지점을 방문해야할까 재고는 있을까 전화는 받을까 막 짜릿합니다 아주아래는 제 폰 이구요 어우 설마요 배경화면 아닙니다 첨에 소름끼쳤습니다 마침 유튜브로 호러물 보고 있었는데 농담 아니라 진심 영상 재생 중인 줄 알았습니다 너무 호러물 스럽게 맛탱이가 가서요두서없는 긴 글 이만 줄입니다 좋은 제품으로 뽑으시길 발열 없으시길 진심으로 바랍니다,2021.01.31. 20:38
70,1 21년 7월 6일 통신사통해 개통하여 새 폰 S21 플러스 제품받음2 다음날 7월7일 개봉후 확인하니 화면이 누런 오줌액정 제품인것을 육안 및 타제품S21 기본형 2개LGV30과 비교 확인 비교사진  첨부3 7월 9일 서비스센터1에 방문 교품증 요청하였으나 누런액정은 제조공장시기라인에 따라 어쩔수없는 차이 이며 이것은 교품증 발급사유가 안되며 고객님이 받아들여야한다고 함 누런것이 심해 비교사진을 보여드릴려하나 그럴필요없이 그냥 교품사유가 안된다고함 추가 질문으로 같은 라인 같은시간 같은공장에서 생산된 123번 제품이 있는데 2번 제품이 오줌액정이라면 13번도 같은 오줌액정 생산제품이냐고 물으니 꼭 그런지만은 않다는 어이없고 불친절한 답변프로 기사님의 불친절 불성실 불명확한 답변 녹취보유 을 듣고 어이없어 그냥 나옴4 7월 10일 혹시나 싶어 다른 서비스센터2에 방문 먼저 1층에 디지털프라자에 있는 S20S21S21플러스S21울트라와 본인폰과 비교를 해봄 본인폰만 확연히 액정이 누런것이 확인됨 이후 서비스센터가서 3과 같은 문의 및 교품증 요청을 하나 안된다는 동일 답변을 받음5 폰 교체주기가 잦은 본인은 아이폰 및 LG OLED액정폰을 지금까지 사용하였음 그동안 오줌액정인 폰이 나온적이 없었고 초기불량으로 교품 해주지 않은적도 없었음 허나 이번 갤럭시S 21 플러스에서는 오줌액정 초기불량 제품을 받고 한번도 사용안한제품을 교품밪지못하고 23년 써야한다는거에 글로벌 기업 삼성전자에 매우 실망함 90년대 이건희 회장님이 강조하던 품질경영은 21세기 넘어오면서 원가절감불량경영으로 슬로건이 바꼇나봄이러한 품질로는 중국업체들에 따라 잡힐것이고서비스로는 아이폰에 뒤쳐지고 있다고 생각함어쩔수없이 누런액정을 안고가고 23년뒤엔 아이폰의 호환성기능성이 향상된다면 무조건 갈아탈것임글로벌 한국기업 중 현대기아차나 2차전지 기업들의 제품불량에 대한 사후처리리콜업데이트보상 등 같은것에 배울필요 있다 생각함 조만간 배터리 화재이슈와 같은 액정이나 서비스관련 큰 이슈가 생기지 않을까 싶음ps 누런액정 제외하고는 내구성성능기능 등이 완벽하다 생각함 그래서 더더욱 열받음첨부사진의 큰 제품이 S21플러스   작은 제품은 S21 기본 모델,2021.01.31. 19:52
71,  3일 전에 디프에서 S21 구입하고그동안 인터넷만 써서 그런가 발열 증상이 없어서양품 받았다 생각하고 좋았었는데오늘 테스트 할 겸 카메라를 20분 정도 구동해보니확실히 발열증세가 있네요 특히 폰 테두리 부분이 금속으로 되어 있어서 그런가 거기가 특히 뜨겁네요한창 뜨거울 때 측정해보니 417도 까지 올라가네요만족하면서 쓰고 있었는데 발열문제는 좀 아쉽네요불량은 아닌듯한데 양품도 아닌거 같아 좀 그렇네요,2021.01.31. 18:54
72,장점1 후면 이쁨2 플랫 디스플레이 보호필름 붙이기 굿3 베젤 극한으로 줄여준 거 굿단점1 뜨거움2 뜨거움3 뜨거움,2021.01.31. 00:09
73,1 터치감 마지막에 질 낮은 필름쓰다와서 그런지     터치감 죽입니다2 노트 납작한 화면에 기변 망살였는데 한손조작에      편의성이 있네요오타도 줄었음3 가볍다단점화면이 q로쓰다 f로 써서 그런가 일반인눈으론          체감힘들다 했는데 약구린게 체감되네요         발열은 그런대로 쓸만한대요,2021.01.30. 22:22
74,안녕하세요 일단 두서 없습니다분노로 인한 교체하고 사용했기에아직도 배신감이 울트라11현재 중국출장을 주기적으로 다니고 있는 직장인 입니다 코로나 터지면서 한국에 일년반을 못 들어오게 되니 자연스레 현지 플래그쉽도 한번 써보고 싶더군요기변증 과다국내폰도 6개월  1년에 한번씩교체 해서 노트텐  아이폰11프로맥스  샤오미 미 11울트라로 해서 최근엔 미 11울트라를 사용했습니다 삼성이 개발한 카메라 gn2 최신 모듈 적용 스냅 888등등 최고 사양이였드랬죠 미국에서도 규제 푼 만큼 샤오미는 개인정보 걱정도 없었고 보안 관련쪽도 모르는건 아니라 현존 사양 최고 깡패인 미11울트라 기대감을 갖고 사개월정도 사용했습니다 미11 울트라 발열 최상급  군인 핫팩 혹한기때 화상입는것만큼 뜨거워짐너무 뜨거워 지다보니 결과적으론 bga쪽이망가진거같다더군요 다시 중출가서 교체요청은 할 생각네 보드가 뻑났습니다 4개월만에 탄게아니라 발열때문에 부품이 떨어져나간것 비슷한거죠갤럭시 울트라 발열은 그에 비하면 귀염둥이네요상대적으로 최악의 발열제품 쓰고와서 그런지샤오미로 루팅하고 롬질하고 이것저것 테스트하다와서 그런지 역시 갤럭시가 좋더군요사진 품질은 전 아직 울트라11이 더 좋긴 한거같아요일단 결과적으로 최악의 발열제품을 써보고똑같이 혹은 더 가혹하게 갤트라 쓰고있는데전 6월 생산품이라 그런지 그리 신경쓰일만헌발열은 못느껴봤습니다일단 전 호 입니다,2021.01.30. 19:14
