,내용,등록일
283,폴드2 뒷판 깨진거 수리하러 갔다가갤s21 만져보고 가볍고 괜찮은거 같아서 폴드2 팔고 자급제로 구매했어요아직까지 발열은 못 느끼겠습니다언젠간 발열이 느껴지겠지만 그냥 감수하고 쓰려고요그나저나 갤s21 핑크 색상 넘 이쁘게 잘 나왔어요,2021.04.23. 18:52
284,저는 평소 어떤 핸드폰이 램이 몇이고 스냅 무슨 노스였나 테크 지식 관련하여 잘 알지도 못 해서 이것저것 따지지 않고 약정 끝나면 그냥 단순하게 삼성 최신형을 구입하여 사용하는 사람입니다2021년 3월 8일 S21 기본 바이올렛 개통 후 45일째 됐는데 불편한 점이 딱 하나 있었기에S21 구입을 고민하시는 분들에게 약간이나마 도움이 되고자 후기 글을 작성하게 됐습니다딱 하나 불편했던 점은 바로 발열이었습니다저는 이제껏 폰 게임을 단 한 번 이용해 본 적 없으며 핸드폰 성능을 저하 시키는 등의 이용을항상 멀리 하면서 심플한 사용을 추구하는 사람입니다충전 또한 초고속으로 자주 하면 수명이 짧아진다기에 유선 충전으로 설정 해두고 잔량도 2083퍼센트 유지하면서 사용중입니다와이파이 가능한곳에서는 무조건 와이파이 사용하였고 그외에 장소에서는 LTE 5G는 무조건 꺼두었습니다개통 후 지금까지 절전모드 사용 중입니다S21 구입 후 이용 대부분은 통화 카카오톡 및 문자 카메라 사용 플로 음악듣기 유튜브 영상 보기 웨이브에서 드라마 시청 삼성브라우저에서 웹서핑 대략 이정도였습니다발열의 정도는 요즘 날이 더워져서 그런지 3월에 비해 더욱 심했습니다사용하던 손이 미지근함을 넘어서 따뜻 뜨겁발열이 심해지고 있다라는게 아주 분명하게 느껴졌습니다써머가디언 들어가보면 역시나 빨간점은 여러개가 찍혀있었고 온도는 금일 최고 온도 46도까지 찍혀 있는 것을 확인했습니다한 여름 폭염이 오면 어떻게 될지 걱정이 안될 수가 없습니다지금까지 삼성만 고집하며 여러 핸드폰 구입하여 잘 사용했었는데이번에 처음으로 후회란걸 해봅니다3월경부터 삼성카페 이용하면서 s21 발열 관련 글 서비스센터 방문 후기 등을 눈여겨봤었습니다분명 형식적인 발열 대처 메뉴얼이 있는거다몇 도가 넘어도 무조건 정상이라 일관한다 등의 글을 보고 가봤자 별 도움 못받겠구나라는 생각이 들어 체념을 했었습니다 그런데 요즘 발열 상태라면 조만간방문을 해봐야할것같습니다S21 구입 하기에 앞서 발열이 걱정이신 분은 한번쯤 심히 고심해보시는게 좋을듯합니다본문 모두 단 하나의 거짓 없이 직접 겪은 사실만을 작성했습니다,2021.04.22. 21:13
285,어제 배그 원래 쓰던 설정 그대로 가져와서 친구들이랑 계속 게임했는데 좀 놀랐네요구플쓸 때 뜨겁고 배터리 순삭되던게 S21로 하니까 별로 뜨거워지는 것도 못느끼겠고 진짜 부드러워요아무리 누가 망작이다 망했다 하지만 저한테는 체감이 진짜 좋네요  앞으로 더 써봐야 알겠지만 역시 신형이 좋습니당,2021.04.22. 20:45
286,짤방은 그냥 돌려본 긱벤치s3 s7 노트9 써오면서 신뢰감이 엄청났는데이번 s21 발열에 녹아내림놋20울트라로 갈걸,2021.04.22. 17:21
287,기존폰 갤s9 3년쓰다가 이번에  갤s21울트라로 넘어온지 일주일정도 되었는데 후회돼요 화면 조금만 보고있어도 멀미나고 어지러워서 못쓰겠어요 눈시림 현상도 있어요밝기 낮게하고 편안한 화면으로 설정해도 그러네여인터넷 찾아보니까 OLED saver 어플 쓰면 괜찮다고해서 써봤는데 확실히 멀미현상 없어지고 괜찮아지더라구요근데 어플쓰면 너무 화질이 저하되고하 끄면 멀미 나고 미치겠어요지금은 화질 포기하고 그냥 어플 켜고 쓰고있습니다이 화질로 쓸거 왜 이 폰샀는지혹시 저같으신분 없나요 솔직히 폰 엄마드리고 다른폰으로 바꾸고싶어요,2021.04.22. 16:05
288,휴대폰을 산지 오래되기도 했고 쓰면서 느낀 점들이 많은 폰이라 리뷰해 봅니다1논란의 25w 초고속 충전기 상자가 상당히 날씬하다논란의 25w 충전기를 제거해 버린 것인데 캘리포니아의 사과를 실컷 놀릴때 나는 삼성은 그러지 않겠지 라고 생각했다그리고그 기대는 무참히 짓밟혔다물론 충전기가 십만원씩 하는것도 아니고 나야 새로 사면 되는 것이지만a32에 넣어준 15w마저 70만원 가까이 비싼 이 기기에는 없다그냥 역겹다고밖엔 못하겠다 폴더블로 플래그십을 옮기겠단 의지인가  1디자인난 마음에 든다 호불호가 극명한 디자인이긴 한데개인적으로는 s10이나 놑10보다도 낫다고 생각한다s10이 나쁘단 게 아니라 중국에서 s10을 베껴도 워낙에 무난한 디자인이라 욕하기가 애매했다면s21은 베끼면 티가 날 수 밖에 없는 디자인이다삼성의 디자인 이라는 정체성이 확립된 것 같은 느낌다만 뒷판이 플라스틱이다그냥 보면 플라스틱인지 모르겠지만 뒷판이 유리인 노트20U 등과 비교하면 티가 난다   2 크기와 무게1크기노트 89의 디스플레이 크기베젤을 도려냈을때의 크기가 s21이다아이폰 12노멀의 크기와도 비슷하다얇아서 바지 주머니에 넣기 좋다2무게가볍다전혀 부담되지 않는 무게누워서 유튜브를 돠도 손목이 아프지 않았다  3성능 이때는 두번째 벤치마크를 돌렸을 때처음에는 멀티코어가 3500정도였다 무난한 정도인데 지인의 s21의 벤치마크는 멀티코어 2500대였던 것으로 보아 뽑기운이 존재한다아 참고로 광역시에 거주하지만 5G는 될 때가 있는가 하면 안될때도 자주 있다 문제는 5G에서 LTE로 넘어갈 때 연결이 안되는 현상이 있다문제는 발열인데 이건 다음에서 다루도록 하자  4디스플레이스피커배터리1디스플레이디스플레이의 경우 FHD의 아몰레드 패널이 들어갔다 전작보다 줄어든 수치인데 그렇다고 크게 신경쓰이지는 않는다 그것보단 120HZ 주사율 엄청나다 이 폰을 살 이유로 들 수 있을 것 같다2스피커그냥 괜찮다 크게 막 좋지는 않다 근데 대부분은 블루투스 이어폰을 쓸테니까3배터리25W 충전기를 사용한다 할때 와닫게 설명을 해보자면 배터리가 35밖에 없을때 회장실에 가서 큰일을 치르고 씻고 나오는데 20분 정도가 소요된다고 가정하면 그때 배터리는 60를 넘겼을 것이다데이터를 사용하면 시간당 15정도 닳는듯이건 5G탓도 크다  5카메라휴대폰으로 사진을 찍을 때 중요한건 사람이 아니라 폰이다농담삼아 하는 말이지만 s21의 카메라를 상당히 잘 설명해 주는 말이다 휴대폰의 성능은 s8을 넘기며 큰 차이가 없어졌고 크기는 다들 커져버린 시점에 제조사들이 강조하는것이 카메라 아닌가전체적으로 어떻게 찍어도 잘 나오는 카메라를 갖고 있다 주간사진 잘 찍힌다 야간사진 역시나 훌륭하다 그런데 자이것이 그 문제의 달고리즘이다 소프트웨어의 중요성을 보여주는 예인데사진을 하나하나 대조해 보면 알겠지만 달의 사진 품질이 급격히 상승한다달의 시진이 선명해지게끔 보정을 하는건데 물론 있는 달사진을 갖다 붙이는건 아니지만 알게된 후 기분이 썩 좋지는 않다 그냥 그렇다고  6발열어쩌면 이번 s21의 가장 큰 이슈가 아니었을까 싶다초반 일주일 동안은 카메라를 켜기만 해도 폰이 녹아내릴것 같은 뜨거움이었다지금 리뷰를 작성하는 중에도 어느정도 따뜻해서 발열이 없다는게 어느 정도인지 모르겠을 정도다성능 저하는 덤  7RAM저장공간1RAM램은 8기가로 오히려 전작보다 줄었다다만 아직까지 리프레쉬가 일어나는 현상을 보지 못했으므로 8기가면 충분하다는 결론에 도달하게 되었다만 12기가에서 8기가로 줄어든건 아쉬운 부분이다 나는 하드한 게임을 거의 하지 않는다는것은 참고하시라2저장공간내장 256GB외장 불가능라이트 유저로써는 이걸 언제 다 쓰나 싶지만 필요한 사람이 있다면 분명히 아쉬운 점일 것이다역시나 특히 아쉬운 점은 전작엔 해줬으면서  총평현 안드로이드 진영의 최강자헌데 전작보다 못하다 나은건 디자인 카메라 살짝 좋아진 것 정도그래서 나라면 둘중에 가격이 더 싼것을 사겠다평점7210전작보다 20만원이 싸진 대가로 후면이 플라스틱이 되었고 RAM이 줄어들었고 성능이 나빠졌고 발열이 늘었다,2021.04.22. 13:57
289,잠깐 아이폰 쓰다 다시오니 넘 좋네요 신기한게 몇달을 아이폰을 써서  다시 적응하려면 시간좀 걸리겠구나 생각했는데  폰 키자마자 자연스럽게 설정하고 셋팅하는 제손을보니 역시나 했네요 쓰던거 쓰는게 진리구나싶네요 아이폰 12프로보다 큰데 가벼워요  아이폰보다 위아래로 길어서그런지 그립감도 좋네요 바이올렛 색상이랑 엄청 고민했는데 질릴거같아 실버로 했는데 만족합니다,2021.04.22. 00:17
290, 아이폰11 프로와 비교한 사진잠깐동안 사용해본 간단한 후기를 말씀드리자면1 디스플레이의외로 해상도 너프된 게 살짝 체감이 되서 쬐끔 아쉬웠지만 베젤이 훨씬 얇고 120Hz가 있어서 만회되는 수준을 넘어 만족스러운 수준입니다2 생체인증아지문인식  너무 그리웠습니다 화면 지문인식 특성 상 힘을 약간 줘서 인식시키면 더 잘되는 거 같은데 이렇게 요령있게 하면 아이폰 터치아이디 2세대 급으로 아주 잘되는 거 같습니다 코로나 아니었어도 페이스 아이디는 절차가 최소 2단계라 화면 탭하고 쓸어올리고 화면 들어 올려 켜기 옵션은 비선호 집에서 쓰기에도 약간 불편했는데이 지문인식은 주머니에서 꺼내면서 위치만 맞추면 이미 풀려있습니다  너무 좋아요 3 발열초기 세팅 때에는 발열이 다소 있었는데 세팅하고 업데이트 후에 사용해보니 제가 산 기기는 다행히도 카메라를 30분정도 돌렸는데도 큰 발열을 못느꼈습니다4 배터리카메라를 15분 정도 돌렸는데  약간의 sns 10 정도 닳는 거 같습니다 카메라가 배터리를 많이 잡아먹는 작업이고 산 지 얼마 안되서 안정화가 필요할텐데도 이정도면 안정화도 되고 sns만 할 때에는 더 오래가는건가 싶고 아무튼 너무 만족스럽습니다,2021.04.21. 20:43
291, 좀아까 개통해서 설정하고 좀 만져보고있는데 시원시원하니 오타도 잘 없고 대만족이네요워낙 라이트유저라 초기 세팅할때말곤 발열도 잘 못느끼겠구요암튼 삼성 좋습니다,2021.04.21. 19:23
292,이전 사용 S9 플러스 유플러스 2년아이폰 12 프로 맥스 자급제 4개월2기종 현재 모두 보유중 최대한 동일 조건 비교1 LTE 수신감도21울  9플  12프맥핸드폰이 계속 안터지는 경우가 생기다 보니 4개월 만에 12프맥서 바꾸게 된 결정적 이유입니다아모 회원이신 분들은 수신감도 저하 관련 글 보신지 모르겠는데 12 시리즈 기종 불문 해외서도 동일한 문제가 발생중이라 애플서도 결함으로 인지하고 해결책 모색중이라고 했는데 ios 145 베타에서 개선됐단 소리도 있었지만 못참고 그냥 갈아탔습니다 안테나 1개로 바뀌면서 전화도 안되고 데이터도 안터지는게 매일 벌어진 일이라궁여지책으로 비행기모드 켰다가 꺼주면 안테나 4개로 돌아오긴 합니다만 운전중에 걸리면 개빡 11프맥으로 기변하려다 그냥 갈아탔습니다2사진12프맥  21울  9플3 동영상12프맥  21울  9플4 게임 모바일 배그 원활 극한 옵션으로만 비교12프맥  9플  21 울18년 11월에 산 9플보다 프레임 더 떨어지고 게임 끊길거라곤 상상도 못했던12프맥이랑 게임은 아예 비교 불가 수준게임 때문에도 20 노트 울트라 사려던거 암만 그래도 최신 플래그십인데 후지면 얼마나 후지겠나 싶어서 21울로 샀습니다만 9플 보다 못한 배그 퍼포먼스에 말잇못5 대망의 발열네 저도 뿔딱이네요뽑기만 잘하면 나는 괜찮겠지 싶었는데 저도 걸렸네요6 기타코로나 시국에 지문인식으로 핸드폰 보안 풀 수 있는건 12프맥보다 훨씬 편해서 좋네요아이폰 사진 정리가 파일 이동이 아닌 단순 태깅 후 복붙 처리라 분류할게 많아지면 여간 귀찮은게 아니라서저처럼 전부 앨범으로 나눠서 사진 관리 하시는분들은 안드로이드가 편하실거에요 개인적인 기종 변경의 이유 중 하나입니다120 주사율 감동이긴 하네요여름 전에 20노트 울트라로 갈아탈수도 있을거 같단 생각이 부쩍 드네요,2021.04.21. 17:00
293,1145000 청구할인포함 에 구매했는대뭔가좀 찜찜 하네요삼성 5월구매 혜택을  봐야되야 생각도 들고요5월에 가정의 달이라 파격적인 이벤트가 열릴꺼같은 기분 구매 취소에 손가락 올라가있네요 ,2021.04.21. 15:20
294,s10 5g 잘 쓰다가 얼마전 집앞에서 차탈려는중 주머니에서 폰 떨어진걸 모르고 차로 밟아서 바사삭 눈물을 머금고 새로운 매물 알아보다가 당근마켓에 100만원에 쏟아져나오는 미개봉품 자급제 사고알뜰폰 요금제로 변경했습니다게임을 잘 안하는것도 있지만 다행히 일반사용중에는 발열 나느것도 모르겠고 별 문제는 없네요카메라도 매우 만족스럽고 UAG 카본 케이스 씌우니 남성적이고 묵직한게 아주 맘에드네요 120hz 주사율은 한번보고나니 다운그레이드 절대 못할거같고전체적으로 빠릿빠릿한게 후회없네요이번엔 박살안내고 아껴서 잘 써봐야게씁니다 ,2021.04.20. 22:35
295,이번에 s21울트라 주문했는데 발열문제나 무게가 무겁다는 후기도 봤는대도 울트라가 끌려서 주문했거든요초근접 카메라 성능이 월등하다는 거 말고 장점 또 뭐 없나요단점 발열뽑기 운 무게장점 초근접 카메라사용하시는 분들 중에 장점이나 단점 뭐가 더 많은 거 같다고 생각하시나요,2021.04.20. 20:18
296,안녕하세요많은 분들이 갤럭시 s21 울트라와 노트20 울트라 두 모델 비교와 관련 궁금해 하시는 걸 봤는데지극히 개인적인 관점에서 말씀드려 볼까 합니다원래 노트20 울트라를 아주 만족하며 사용하고 있는 중 이번 디플 대란에 탑승하여 현재는두개를 동시 사용하고 있기에 조금은 정확한 비교가 아닐까 합니다일단 어플 실행 등 동작속도는 거의 차이가 없습니다보통 한세대는 건너뛰고 두세대 정도 건너뛰어야 차이가 있을 것 같기는 한데 지금까지 많은갤럭시 기기를 사용해 보면서 다음 신모델이 나왔을 때 분명 어딘가 모를 묘한 빠릿함을 체험할 수있었는데 그 어디가 모를 미묘한 차이조차 없는 것 같습니다한마디로 노트20 울트라나 s21 울트라나 별 차이가 없습니다s20을 지나 노트20 울트라로 왔을 때 분명 화면이 밝다 느꼈는데 이는 s21 울트라도 마찬가지입니다화면이 많이 밝습니다 그리고 화질도 좋고요하지만 노트20 울트라와 비교했을 때 더 나아졌다는느낌은 받지 못했습니다그리고 중요한 무게 s21 울트라 무겁습니다 거기에 케이스까지 끼우면 케이스에 따라 벽돌처럼 무겁습니다노트20 울트라도 처음에는 좀 무겁다 생각됐는데 s21 울트라에 비하면 너무 가볍게 느껴지고손목에 평화가 찾아옵니다그 좋아하는 강력한 보호력의 삼성 프로텍티브 스탠딩 케이스는 엄두조차 나지 않습니다아울러 s21 울트라 발열과 관련 많은 문제들이 제기되고 있는데 그래서 많이 걱정했는데제가 좀 써보니 저같은 사람에게는 먼나라의 이야기인 것 같습니다물론 뽑기도 한몫 하겠지만평소 인터넷 유튜브 카톡 등이나 게임을 해도 고스톱이나 퍼즐맞추기 같은 아주 간단한게임을 하는 지극히 가벼운 유저에게는 발열에 발자도 없습니다그렇다고 카메라를 빡세게 돌릴 일도 없고 찰칵찰칵 몇 장 사진 찍기가 대부분인 저에게는발열은 없었습니다 동영상도 한 십분 이십분 많이 보면 한 삼십분 이상도 쉬지 않고 봤는데열이 올라오질 않습니다배터리도 아주 만족스럽고 노트20 울트라보다는 좀 더 든든하게 오래갑니다하지만 그 좋다는 120Hz 는 사용하지 않고 일반으로 쓰며 LTE 우선모드로 쓴다는 점이변수가 될지 모르겠습니다그래서 제가 내린 결론은 분명 S21 울트라도 좋은 기기라 생각하지만SD 카드 지원되고 각진화면이라 좀 더 시원하게 커보이고 무게도 가볍고 속도 차이도 거의없고 배터리 역시 짱짱한 편에 속하는 노트20 울트라가 좀 더 만족감이 높고 좀 더나은 것 같습니다 노트20 울트라 쓰다 s21 울트라 쓰면 막 뭐가 좋아지고 막 빨라지고이런 거 하나도 없습니다 단지 접사는 s21 울트라가 와 좋다 생각되지만 이또한 별로쓸일이 없는 저에게는 크게 와닿지는 않았던 것 같습니다 아울러 누워서 폰 사용할 때 거기에 무게가 좀 있는 케이스 끼우고 누워서 한손으로 s21 울트라 들고 있을 때아 노트20 울트라가 무거운 게 아니었구나 라는 생각이 절로 들더군요 ,2021.04.20. 14:20
297,1질문 판매글 광고 체험단글 추천요구글 X 2 판매처 또는 인터넷주소링크 금지 3 가짜모방특히명품 액세서리 X 4 제품도착 지연 문의글 한줄 후기 X 쉽게 안질리고싶어서팬텀 그레이 샀는데 포인트가 없네요 걍 바이올렛 살껄 후회되네요,2021.04.20. 10:45
298,울트라 512입니다속도강화하니 훨씬쾌적하네요특히 요즘 화면스크롤이 좀 매끄럽지안아속도강화버튼 누르고 사용해보니 화면이 훨씬 부드럽고 앱전환도 빨라지는군요게임은 하지안습니다설치된 앱이300개 이상이라아울트라도 버벅이나보다 했는데 속도강화버튼으로 해결했습니다 ,2021.04.20. 07:19
299,몇날 몇일을 카페에 들락거리며 회원님들께 묻고 지인들한테 묻고 매장하는 저희언니한테 묻고 친동생은 다른폰을 쓰지만 묻고묻고  비교끝에 갤S21U 실버 했어요사용하시는 분들이 발열이 있다고 하셔서  진짜 고민 많이했는데 데이터 옮기는데 발열이 있더라고요 폰이 터지는줄알았어요 근데 금방 식더라구요 디스플레이는 진짜 좋네요 노트10플 사용해서 그런가 무게는 엄청무겁다 이런건 못느끼겠어요 후면이 카툭튀라 조심해야겠어요  노트10플 사용할땐 보호필름 붙여서 사용했거든요 이번에도 구매해서 붙여야겠어요 그래도 후회는 안해요 삼성카페회원님들 정보덕에 잘구매한거같네요  감사합니다 아쉬운점SD카드 미지원 충전기 없음발열 금방사라짐게임용으로 비추천개통한지 얼마 안됐고 더 사용해봐야 알겠지만 게임을 즐겨하는 저로서는  좀 아쉽네요  그냥 세컨폰으로 게임할려구요 카메라는 아직사용전이에요  2주정도 더써보고 추가 후기남길게요,2021.04.19. 22:51
300,폰질문금지 판매글금지 추천인수익글 금지 폰질문금지 판매글금지 추천인수익글 금지 제목에는 간략한 질문내용 표시 사용기종   갤럭시  S21 울트라 256G질문내용  구체적으로2월22일에 최초 개통했습니다 코로나로 본가시골에 있다가 학교있는 서울로 올라와 쓰다보니 몰랐던 문제들이 보이네요1 GPS 이게 가장 문제입니다 동영상 첨부했다시피 아예 방향을 못잡고 이리저리 날뜁니다 삼성전자서비스센터가서 메인센서 메인보드 교체받은 직후 화면녹화 한건데 원래도 심각했는데 더 심각해졌네요 기사분은 GPS가 문제가 있을때 할 수 있는 조치는 다한거라고 하셨는데 수리 받자마자 나와서 네이버지도켜서 사용해보니 저모양이네요 아직도아 참고로 핸드폰 일정 방향으로 유지하고 있는 상태입니다  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolpdCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 PDBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0000 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기접기펴기이걸 어찌 쓰라는건지 참갤럭시 S21 울트라 GPS 불량  2 빛번짐 문제에요 이건 그냥 사진첨부합니다 이게 불량이 아니면 뭐죠 몇번을 닦고 닦아도 이러네요 전용 닦이로 닦아봐도 이러고 처음엔 카메라 액정필름 붙여놔서 그런줄 알고 뗐는데 똑같네요 내 2만원  이 사진만 이렇게 찍힌게 아니라 그냥 저래요  멀리서 찍고 그나마 그나마 괜찮게 나오면 이렇고요극세사 천으로 닦고 찍어보라는 분이 많으셔 추가  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolpdCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 PDBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0000 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기접기펴기중간에 검은화면 극세사 천으로 닦는 거에요빛번짐 3 1억800만 화소갤럭시 울트라 기본카메라 34 비율은 두가지 버전이 있어요 1억800만 화소 ver 하고 기본 ver 근데 아무리 봐도 1억 800만 화소가 화질이 더 깨지게 나옵니다 밑에 사진은 둘 다 6배줌 해서 찍은겁니다 1억 800만 화소 사진 일반 화소사진보면 알다시피 더 구려요 사진파일 용량을 볼 수 있으신진 모르겠지만 잘못 올린거 아니구요 흔들려서 찍은 것도 아니고 그냥 1억800만 ver 이 화질이 더 깨지고 안좋아요 일단 발견된 불량은 이정돈데 저만 그런가요왜 찾아봐도 딴 분은 이런 사례가 없죠 제가 뽑기가 실패한건가요그리고 진심으로 삼성폰 쓰기 싫은데 제가 취할 수 있는 가장 극단적인 조치가 뭐가 있나요 환불받고 싶은데 최소 교환이나 교환도 성에 안차지만요,2021.04.19. 22:22
301,CPU 57도 찍은 S21 후기3월 26일 KT 최초 개통 3월 28일 화상회의 중 발열로 인해 앱리모트미팅 꺼짐 증상 발현 3월 29일 테스트로 카메라 녹화화상회의 앱X시 발열 증상최대 52도 3월 29일 여의도센터 방문  엔지니어가 정상이라고 판단 but 본사 로그 분석 4월 5일 문자 수신  카메라 동작에 따른 제품 컨셉에 따른 동작이라는 내용핫팩 컨셉인가  최신 업데이트 후 화상회의가 아닌 일반 카메라 작동시에는 발열이 다소 줄어듬40도대4월 11일 화상회의 중 발열57도로 인애 앱 꺼짐 배터리 소모 엄청남 터질 듯한 휴대폰첨부파일 참조 4월 11일 삼성멤버스에 문의 글 남김해당 과정 동영상 녹화 및 57도 찍은 스크린샷 확보 4월 12일 삼성멤버스로부터 삼성전자서비스 불편합니다에 남기라는 안내를 받음 게시글 남김4월 13일 삼성전자서비스 홈페이지에 여의도센터 팀장이 전화할거라고 답변4월 14일 여의도서비스센터 팀장에게 전화옴57도는 정상이라는 답변녹음 파일 있음 기계 내부 온도기 때문에 정상이다 어차피 다른 기계들도 마찬가지다동일한 기계 동일 증상 발생시 교품 불가4월 14일 혹시 몰라서 해당 앱리모트미팅 고객센터에도 S21 기종에서 발열 문제 남김4월 18일 현재 다시 테스트해보니 44도 이상으로 올라가진 않음 아마도 앱 제작사에서 패치를 한 것으로 추정44도도 만족스러운 온도는 아니지만 그냥 포기하고 쓰렵니다 삼성전자서비스를 받으면서제가 느낀 아쉬운 점은 무조건 정상입니다 고객님이라고 할게 아니라 제가 그 앱 제작사에 문의를 한 것처럼 뭐 그 앱 제작사에 협의해서 패치를 진행하겠다라던지아니면 4월 14일에 팀장이 말한 내용처럼 3월 29일 센터에 갔을 때 그 자리에서 같은 기종으로 테스트를 해주던지  그냥 무조건 교환불가라는 내부 방침을 세운 것 같더라고요  제 기기가 유독 발열이 높은 것 같긴 하지만사실 교환한다고 해서 해결 될 문제는 아닌 것 같긴 합니다  이제 겨울이 가고 여름이 오고 있지만 핫팩 필요하신 분들은 S21 구매하세요  갤럭시 사전예약 또 받던데 곧 구형폰 될 것 같긴하지만  S21은 망작입니다,2021.04.18. 19:36
302,게임 쫌만해도 발열있어 프레임 드랍 심하고 핑 튀고 에휴걍 노트 20u 그대로 쓸껄 그랬네요,2021.04.18. 12:13
303,1질문 판매글 광고 체험단글 추천요구글 X 2 판매처 또는 인터넷주소링크 금지 3 가짜모방특히명품 액세서리 X 4 제품도착 지연 문의글 한줄 후기 X 질문추천 금지 Xs21 u 100x s20 u 100x 저기 정면 산위에 보이는 아파트인데 화질차이 좀 있네요좋아지긴 했네요 근데 저걸 땡기다니 대단하긴 합니다,2021.04.18. 08:49
304,일단 지난주 삼성디지털 프라자 대란탑승 했고 오늘 사은품 다 정리하여 내역 공개하면 21U 자급제노트북버즈플러스 카드결재 2158000원 6개월 캐시백 503616원 청구할인 100000원  할부이자 32370원 1586754원 에서  상품권 140000원 삼페카드 신규발급 120000원 노트북 처분가 580000원  버즈플러스 처분가 85000원 v50 민팃 223000원 S21U 최종가 438000원에 구매완료 했네요 핸폰은 실사할지 팔지 고민중 입니다 안팔면 삼성 악세서리 구매쿠폰 10만원 짜리랑 워치쿠폰 라이브 쿠폰도 있어서 더 내려가겠네요참고 바래요 ,2021.04.16. 22:01
305,노트 단종각이라 이제 어떻게 둥근 디자인 쓰나 했는데바로 잊혀졌습니다 노트7이랑 4세대 차이도 나고크기 베젤 성능등 격차가 어마 어마 하다 보니 신세계입니다아주 싸게 산 것도 한 몫 하겠지요 어플 동시에 여러개 사용을 많이 하는데 리프레시 없는게 너무 좋네요발열도 없는 것 같고 양품같은무게도 금방 적응 되고단점은 화면이 너무 밝아서 눈부셔요 밝기 2030프로만 하고 씁니다 ,2021.04.16. 11:36
306,일단 LG V40 쓰다가 이번에 넘어왔습니다갤럭시를 써보니까 확실히 좋은거같습니다약간의 배터리가 조금 문제 인거같기도 하지만아직은 만족중입니다 삼성페이도 아주 편리하고요아이폰은 절대로 안쓸거같습니다 카메라도 좋고 램도 빵빵하고 고민하지마시고 무조건 추천드립니다,2021.04.16. 00:50
307,핑크가 젤 예쁘지 않나요  사면서도 핑크하는사람 잘없죠그랬다는 써보니깐 좋네여발열있다고 하는데 잘모르겠네요 아직은 게임을 안해서 그런가요 대구에서 15주고 삿네요   ,2021.04.15. 13:38
308,노트10 사용하다 갤럭시s21 사용하고 있는데 괜히 바꿨나 싶네요 S21울트라로 바꿀걸 후회가 막심합니다S21 은 주머니에 넣고 편하게 다니고 싶은분들은 추천이며 게임이나 사진을 많이 찍는 분들은 울트라로 사용하시는게 맘고생 안하고 좋을것 같아요3개월 사용하다 다시 유심옮겨서 노트 10 사용해야 겠어요,2021.04.15. 12:35
