,내용,등록일
99, 고민하다가 정품 키보드 커버로 구매함다 좋은데  너무 비쌈자판 덮는 커버는 없어서 지문 방지 스티커 붙힘그냥 블루투스 되는 로직 살껄 후회해봄 몇번을 반송 교환하다 드뎌 맞는 사이즈의 보관케이스 구입 완전 귀여움 정품 커버가 있지만 높이 조절이나세로 볼때는 불편해서 거치대주문 완전 짱짱하니 편함 그리고 로직 무선 마우스 구입 소리가 거의 안나서 이쁘고 좋음,2021.03.07. 01:01
100,배터리 보호모드 OFF 배터리보호모드 ON태블릿에만 있는 배터리보호모드를 ON하면 85까지만 충전하다보니확실히 실사용시 체감이 빨리 닳네요 장기적으로 보면 켜는게 배터리교체까지 오래버틸텐데 삼성케어플러스 가입했다면 2년안에 무조건 교체할테니 굳이 안켜도 될거 같아요,2021.03.06. 21:13
101,플러스로살지 그냥으로살지 고민을 많이했는데아무래도 집에는 노트북도있고 휴대성이 더 좋을것같아 기본으로 샀어요 생각보다 크네요어제 이것저것만져봤는데 진짜 대박쓰 좋아요 엑스박스게임패스하고있는데갤탭으로 하니깐 시원시원해서 좋네용 너무만족합니당 ,2021.03.05. 10:46
102,아이패드쓰다가 넘어 왔는데갤럭시탭 좋네요  노트북으로 미러링이 아주 쉽게 그대로 되는군요  애플은 앱도 깔고 복잡했는데정말 좋군요,2021.03.02. 22:39
103,1 용도  pdf 유튜브 웹툰2사용기간 2일3 이전 사용 탭  x4휴대폰 s9먼저 기존에 다른탭에서 넘어온게 아니라 첫 태블릿이라비교대상 없이 단순히 s6 lite 사용하면서 느낀점입니다단점 시야각이 좁다s9 이젠 좀 오래된 폰이지만 폰보다 느린게 체감이 됨 화면이 크니 스크롤을 내릴때 60hz인게 더 잘 체감됨 지문인식이 없다렘이 부족해서 렉 앱 여러개 켜놓으면 불편함장점 s7 lte버전이나 아이패드 8세대펜슬 구매보다 싸다시야각이 좁은거 말곤 디스플레이 만족스러움폰만 쓰다가 화면이 커지니 좋다,2021.03.02. 14:08
104,사용하시던 노트에서 템플릿을 변경하고 싶으시다면 홈화면에서 변경하실 노트의 이름 옆에 파란색 버튼을 누르고 이름변경을 누르고 템플릿을 누르시면 밑에 템플릿들이 뜹니다 고르셨다면 마지막으로 완료를 누르시면 기본 템플릿만 적용과 전체페이지 적용이 있는데 이건 뭔차인지 잘 모르겠습니다 pdf로 불러온 페이지들은 변경되지 않습니다  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolpdCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 PDBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0000 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기질문추천 금지 X사용하시던 노트에서 템플릿을 변경하고 싶으시다면 홈화 ,2021.03.02. 10:20
105,신학기로 인해 많은 분들이 갤럭시탭을 구매하실 것 같아 조금이나마 도움이 되면 좋겠다싶어서 갤럭시탭S6Lite 를 리뷰를 작성해봅니다 제가 아이패드 8세대를 구매할 당시 갤럭시탭S6Lite 사이에서 엄청난 고민을 하다 결국 두 개 다 구매했었거든요 아이패드 8세대를 선택한 이후에 갤럭시탭S6Lite는 남자친구에게 선물했다가 리뷰를 위해 제가 잠시 뺏어왔습니다 상자는 매우 심플합니다 조금 큰 핸드폰 박스같아요 하지만 요새 핸드폰 박스에는 충전기가 없으니 충전기 포함인 걸로 만족해야 할지도 원래는 일반 충전기를 넣어주는데 제가 일반 충전기를 빼놓고 삼성 정품 고속 충전기를 넣어놨어요 일반 충전기 충전속도가 느려서요  그리고 갤럭시탭은 아이패드와 다르게 sd카드로 용량을 늘일 수가 있어요 Wifi 모델이지만 이런 이유로 유심핀을 넣어주는 것 같네요 그리고 함께 들어있는 s펜 갤럭시탭의 가장 큰 장점은 바로 s펜 기본지원이 아닐까 생각이 들어요 애플펜슬은 그 자체로 10만원이 넘는데 갤럭시탭은 탭만 사면 되니까요 또 s펜은 이렇게 자성으로 부착이 됩니다 S6Lite는 아쉽게도 측면 부착만 되네요 하지만 더 뒤에 나온 S7은 후면에도 부착이 가능해요 가성비라인이니 측면 부착으로 만족합시다 그리고 후면도 보여드리고 싶었지만 이미 후면 보호필름을 붙여버렸습니다 제가 유난떤게 아니고 케이스 살 때 사은품으로 넣어주셔서 걍 붙였어요 이해바랍니다  케이스는 정품이 아닌 써드파티 제품을 구매했어요 케이스강화유리2장후면보호 필름 세트였슴다 저렴하게 쓰기에는 만족해요 구매할 당시에는 몰랐는데 삼성의 아카데미 프로모션을 통해 저렴한 가격에 악세사리를 구매할 수 있었어요 저는 라미펜과 정품 강화유리를 6900원에 구매했습니다 강화유리는 S6Lite 구매 전에 이미 붙여서 정품 강화유리는 당근마켓에 저렴하게 팔았습니다  영롱한 라미펜의 자태 여분펜촉도 들어있고 무엇보다 기본s펜보다 두껍고 쥐기 편하게 설계되어있어 필기할 때 더 좋았어요 기본 s펜은 기능은 참 좋은데 좀 얇은 느낌   이렇게 손끝이 닿는 부분에 홈이 있어서 미끄럽지 않아요 색도 너무 예뻤답니다 그럼 주로 사용하는 영상과 필기에 대해 소개드릴게요  왼쪽은 유튜브 영상이고 오른쪽은 넷플릭스 영상입니다 갤탭의 장점이 바로 영상에 최적화된 비율이죠 유튜브의 경우 레터박스가 거의 없고 넷플릭스는 위아래 조금 더 두꺼운 레터박스가 있습니다 아이패드를 사용했던 저에겐 이 정도는 거의 없는 편이나 마찬가지예요 게다가 아이패드는 주로 종이질감 필름을 붙이는 경우가 많아 화질저하된 상태로 영상을 보시는 분들이 많은데 갤탭은 강화유리에도 전혀 미끄럽지 않게 필기가 가능해서 굳이 붙일 필요가 없거든요 화질저하없이 기기스펙 그대로를 즐길 수 있다는 것도 장점입니다  S펜과 라미펜을 둘 다 가지고 있기 때문에 비교해보았어요 펜촉은 동일하지만 s펜의 경우 버튼이 달려있어서 꾹누르면 지우개로 활용할 수 있습니다 또 라미펜은 인체공학적으로 만들어져 필기할 때 좀 더 편하다는 장점이 있습니다 한가지 단점이 있다면 갤럭시탭S6Lite의 펜인식속도가 그렇게 빠르지는 않더라구요 일반 학생들이 필기를 할 때는 전혀 문제 없지만 취미로 그림을 그릴 때는 좀 불편할 것 같습니다 그래도 펜촉이 말랑말랑한 재질이라서 실제 펜이 종이에 약간 들어가는 그 느낌 느껴지거든요 인식속도만 높이면 진짜로 종이에 펜을 쓰는 느낌을 제대로 느낄 수 있을 것 같아요 갤럭시 S6 Lite 리뷰 정리장점 1 값싼 가격에 영상시청과 필기가 가능 S펜 기본 제공2 베젤이 얇아 디자인의 완성도 높음3 SD 카드로 용량 추가 가능4 휴대성 편리단점 1 지문인식이 되지 않아 불편2 S 펜 레이턴시가 길다 느리다3 앱을 많이 실행하면 종종 버벅임,2021.03.01. 23:20
106,충격이에요 사양이 안좋은거는 알앗지만 구글 플레이스토어에는 아예 뜨지도 않네요 사양 높은 겜은 설치도 못한다는거 이제 알았어요그리고 유튜브 4k영상은 돌아가긴 하는데 재생이 엄청 끊기내욬,2021.03.01. 18:40
107,이미 13인치 놋북도 있는데 휴대성땜에 탭 보다가 S7를 다들 추천하셔서 금액땜에 엄청 고민했는데 미스틱 브론즈가 자꾸 눈에 아른거려 결국 지르고 말았네요 집에서만 쓰게 될거 같아 와이파이 버전으로휴대성 따져놓고선 124인치를 사다니제 놋북이랑 크기 차이가 거의 없어요 게다가 케이스까지 끼우니까 한손으로 들고 보기 무겁고 불편해요 그래서 누워서 편하게 영화나 유튜브 보려고 탭 전용 거치대 사서 끼우니까 자꾸 쳐져요  S펜이 있다보니까 뭔가 엄청 큰 노트폰 같아요제가 놋10 쓰는데 탭 쓰다가 제 폰 쓰면 미니어처 폰 만지는거 같아서 이상해요 근데 확실히 공부하시는 분들 쓰긴 좋겠더라구요필기감이 넘 좋아요 탭 난생 첨 써보는거라 종이 질감 필름 궁금해서 붙였는데일어 공부 한시간만에 펜촉이 많이 닳아버렸네요 진짜 너덜너덜  암튼 필름 사고 정품 북커버랑 투명 케이스 사고 거치대 사고 키보드까지 샀더니 돈이 많이 깨졌지만 그래도 행복해요 ,2021.03.01. 04:11
108,업데이트는 늘 반가워요 덱스모드 실행하니 변화점이 눈에 띄네요 돌비애트모스 지원됩니다 우측하단 클릭하면 윈도우처럼 캘린더로 연결됩니다  삼성 열일 하네요,2021.02.27. 18:15
109,태블릿 첫 입문으로 s7구매했어요얼마전에 있었던 지마 빅세일에서 구매 했는데 2월 23일 구매카드할인이랑 빅세일이랑 해서 80만원 정도주고 구입했네요s7랑 s7이랑 고민하다가 휴대하기편한것가격 번인없는 lcd여서 구매했는데 오렌지 이슈가 있을줄이야 게다가 제가받은 제품이 2020년 8월 제조품이네요  불량많았던 초기제품  재고처리한듯역시나 켜자마자 상단 오렌지가 보이네요교환해도 오렌지 올것같아서 고민하다가 그냥 쓰기로 했습니다화면모드 설정을 자연스러운 화면으로 했더니 좀 나은것같네요근데 액정필름 붙이니 오렌지색이 더 심해져 보이기도 하고  휴한번 눈에보이니 자꾸 신경쓰여서 나중에 액정교체해야되나 고민이네요오렌지랑 빛샘 약간있는거 빼고는 빠릿하고 좋아요 나에게 맞게 차근차근 설정해나가는 중입니다오렌지 빼고 만족이예요 밝기100 상단 오렌지 ,2021.02.27. 17:01
110,처음 구매후 유투브넷플릭스 보는데만 사용하다가회사에서 업무적으로 쓰고 있는데 너무 유용하네요예전엔 노트에 필기하고 여기저기 필기하다보면 사라져 찾기 일쑤였는데 모든 회의 업무일지 중요정리 내용등등삼성노트로 작성하고 갤럭시폰에서 보고 수정도 하고해서 너무 편하네요oneui31이라 빠릿하고 카톡까지되니 이제 완벽한 태블릿이네요 아이패드때는 파일관리와 찾기가 안좋아 애를 먹었는데 자료관리가 너무 편해서 좋네요s펜이 필기감이 좋아 빠르게 쓸때 더 좋습니다단점이 있긴하지만 저의 관점으로 보는 사용중 만족감은 최고단점이라면 좀 커서 휴대성이 떨어진다는건데 그건 패쓰하고 봅니다  올핸 도대체 어떤 탭이 나올까 궁금합니다만 여기서 좀더 업글버젼이 나오지 않을까 싶네요 ,2021.02.25. 22:31
111, 갤탭s7이 출시된 시점에서 저는 갤탭6라를 구입하였습니다 가난한 공시생이 되었기 때문이죠 하하64기가 lte모델 구입하였고 일단 후회를 한 적은 없습니다 탭으로 게임은 한 적이 없고 주 사용도는 인강 유튜브유튜브 보기에 갤탭 비율 넘 좋은것 웹서핑 필기 및 pdf자료 수필 카톡번호 우회함sns가 전부입니다제가 느낀 장단점은 똥손이지만 첨부한 내용으로작성하였습니다 이 기기를 4x에 구입했던걸로기억하는데 가격을 생각하면 너무너무 만족하며딱히 상위모델이나 아이패드로 바꿀 생각도 아직은없으며 잘 사용하고 있습니다 다만 노트쉘프가 그나마 제일 나은 필기앱이지만개발자가 그닥 신경을 잘 안쓰는거 같아서 플렉슬 출시까지 기다리고 있습니다 끄읕,2021.02.25. 20:25
112,저는 태블릿세계는 아이패드 에어부터 시작해서 안드로이드 탭입문은 갤럭시s4 그리고 지금은 s7plus를 사용하고 있습니다 애초부터 필기목적으로 입문한 태블릿세계이기에 안드로이드 필기 어플의 all in one에 대한 갈망과 비교에 대한 고민은 둘째라면 서러울 정도로 심도있게 해봤는데요제 결론은 노트북에 비하면 빈약한 태블릿의 하드웨어로 인한 구조적인 한계점에서 all in one인 어플은 존재할 수 없다애플도 마찬가지 였습니다 이러한 결론으로 도출하게 된 과정은 제 지난 글들 중에 글제목 앞에 표시가 있는 글댓글까지 몇 개를 읽어보시면 공감할 수도 있으실 겁니다 혹시 다른 추가 의견이 있으시면 해당 글들의 댓글에다가 남겨주세요 매우 기쁘게 생각하고 시간내서 소중하게 읽어보겠습니다 새로운 필기 어플이 나온다고 해도 지금까지 태블릿의 cpu와 8기가 램이라는 천장이 있는 이상 처음부터 그렇게 크게 기대하지 않았었죠그나마 삼성이 이번 s7시리즈의 매출급등으로 부터 어플에 대한 투자가 매출상승으로 연결된다는 것을 배우고 여러 어플들이 대규모 업데이트를 동시진행하고 있는데요 그 중에 삼성노트 역시 빠질 수가 없죠 제 지난 글들 중에 5가지 어플을 비교한 글이 있는데 그 이후로도 삼성노트는 의미 있는 큰 업데이트를 두 번 이상 진행했고 그 중에 음성녹음과 필기의 동기화 기능은 학생이나 세미나를 듣는 사람이라면 시간을 절약한다는 구체적인 측면에서 매우 유용하죠 사실상 갤럭시탭이라는 안드로이드태블릿  플래그쉽의 대표주자의 개발자인 삼성이 직접 필기어플을 제작한다는 것은 상당히 반칙이라고 저는 생각합니다일단 거대공룡기업의 규모가 다른 투자와 억대연봉자들의 집단지성을 차치해도태블릿에 구조적으로 실현 가능한 입력 방법과 그 조합에 대해서 누구보다 잘 이해하고 있을테니까요 애플이 직접 아이패드 어플 개발에 뛰어드는 것과 같은 이치이죠  그러나 이번에 나온다는 플렉슬은 조금은 다른 기대를 하고 있습니다 먼저 리뷰어들의 리뷰글을 봤을 때 손가락 세개를 이용한 입력 방법이 있다고 하더군요 지금까지 안드로이드에서 세 손가락을 이용한 입력을 옵션에서 구경도 못했었기에 또 다른 기능이 있는것은 아닌가 하는 생각도 들더군요 플렉슬은 아이패드에서 성공한 경험이 있으니 그걸 안드로이드에서 그대로 재현해내는 것이 구조적으로 가능한지에 대한 기대가 크지 않았었는데 그 기대가 더 커졌네요 다만 거대기업인 삼성의 주력 삼성노트를 가진 기능을 상회할 무엇인가 있기를 기대한다면 실망이 커질 수도 있어서 자중하고 있습니다 소문난 잔치집에 실망하는 경우가 적지는 않으니까요 무튼 이제야 베타버젼이니 앞으로 발전가능성은 무궁무진하리라고 믿고안드로이드 필기 앱에서 플렉슬과 삼성노트와 자강두천하는 발전적인 관계가 되길 기대해봅니다,2021.02.25. 15:09
113,여기서 빅스마일데이 알게 되고 산거라 후기 써야지 써야지 해놓고 이제 쓰네요원래 기계를 좋아해서 태블릿도 사야지 사야지 했었습니다한번도 애플은 써본 적 없어서 당연히 갤탭 보다가S6를 19년 10월쯤 일렉트로마트에서 구입해서 잘 썼어요넷플 인강 필기용으로 샀고 진짜 알차게 썼어요  매장 가서 현금으로 샀다고 호구냐고 하던 지인들이 인정해줌 뽕뽑았다고 그래서 사전예약을 할걸 하면서 S7 갈아탔네요딴 이유 하나도 없고 화면 큰게 좋아서  그래서 휴대폰도 노트20울트라큰거 최고 무조건 최고이런 스타일첨에 갤캠스에서 wifi 모델 샀었는데S6도 와이파이였고 셀룰러 필요성 못 느낌 빅스마일데이는 엘티이모델만 할인 되고  샀던 와파 모델이랑 가격 비슷해서 걍 엘티이로 샀슴다 모나미s펜도 샀어요 신기하게 같이 옴 여기서 이 필름 알게 돼서 사서 붙였어요 나름 잘 붙인 것 같은데 젤리 케이스 끼니까 옆면은 다 찍히고 눌리더라고요 여튼 예쁩니다 젤리케이스도 여기서 본걸로 사고종이질감 필름도 여기서 본걸로 샀어요 키보드랑 거치대만 쿠팡에서 후기 봐가며 샀습니당키보드는 정품키보드커버 쓸 생각이라 집에서 이렇게만 쓰는 용으로 싼거 샀어요여기서 얻은 젤 꿀팁은 라미펜에 와콤 펠트심 끼는 거였어요원래 S6에 종이질감 필름은 쓰고 있었는데 화질저하 느꼈어서특히 흰화면에 자글자글한S7은 그냥 써봐야지 했더니만 웬걸너무 미끄덩거려가지고  이건 안되겠다 싶어서 종이질감 필름 딴걸로 쓰고 라미펜에 펠트심 끼워보니까 진짜진짜 종이로 쓰는 거 같아서 너무너무 만족중이에요진짜 대박화질저하도 기분탓인지  별로 못 느끼고 있네요스테들러랑 라미펜 S6 살때 샀었는데 스테들러는 진작 팔고 모나미는 지켜보는 중전 지우개버튼 있는 게 좋아서여튼 잘 쓰고 있다는 글 입니다좋은 정보들 감사합니당,2021.02.24. 19:04
114,어쩌다보니 수중에 보급탭으로만 3개가 생겨 색감 비교를 해봤습니다동일한 디스플레이로 설정 왼쪽부터 s5e a7 a 101 입니다 각각 101인치 104인치 105인치인데 실제로 크기차이보단 영상을 볼때의 색감차이가 크게 느껴졌습니다lcd가 화면잔상이라던지 그런부분에서 마음은 편하지만 아몰레드가 확실히 화면빨은 좋았습니다근데 탭을 모으다보니 s7같은 고급기도 슬슬 욕심이 나는,2021.02.21. 15:07
115,s펜 기둥두께 09mm펠트심 기둥두께 099mm두께차이는 01mm도 안됩니다 그리고 펠트심은 플라스틱이 아니다보니 힘줘서 눌리면기둥두께가 얆아지더라구요 그래서 s펜에 펠트심 끼울때 이질감은 전혀없습니다만펠트심을 끼워서 사용해보니 제대로 안됩니다되긴되나 펜이 화면에 닿기전에 인식이되서 글이써져요 필기감은 정말 좋은데 아쉽습니다펠트심 궁금하신분들은 참고하시길 바래요,2021.02.18. 14:28
116, 배터리 교체도 6만원이면보험시 2만원 된다니 넘 착하네요아이폰X 2700mah 배터리 교체비용이 9만원인데45w 지원하니 충전속도도 거뜬,2021.02.17. 17:33
117,S급 S4 자급제모델로 38에 들였는데 너무 만족스럽네요 안드로이드11을 안먹긴하지만 충분히 오래 사용가능하겠습니다 너무 이쁘고 화면이 아몰레드답게 짱짱하네요,2021.02.16. 20:24
118,아이패드 프로 11 쓰다가 s21 넘어오면서 탭까지 같이 넘어오게 되었습니다일단 영상보기엔 역시 갤탭 비율이 더 좋네요 화면도 쨍하고 좋습니다,2021.02.14. 00:08
119,S7을 사용 중입니다 블랙 화면이 눈에 좀 편해서 블랙 화면을 사용하고 있는데 이게 모든 앱에 적용이되다 보니 내장 노트에도 적용이 되네요 노트는 블랙 바탕이 싫어서 빅스비 루틴에 노트 사용시는 일반 화면으로 바뀌도록 설정을 했습니다 근데 좀 버그가 있는 것 같네요 다 좋은데 태그 설정시 영상 처럼 블랙화면으로 변하면서 태그 설정창이 없어진 후 다시 흰 바탕으로 돌아와서 태그 설정이 어렵네요 다른 분들은 문제가 없나 모르겠네요  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolpdCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 PDBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0000 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기질문추천 금지 XS7을 사용 중입니다 블랙 화면이 눈에 좀 편해서,2021.02.12. 13:40
120,일단 지문인식이 10번 하면 1번 되는 수준이었습니다서비스센터에서 초기화한번 하셨는데 그 뒤로 잘 되네요출고할 때 초기 입력값인가 기본값인가가 잘못 돼있었다고 하셨습니다지문인식 속도 진짜 장난 아니게 빠르네요저처럼 지문인식 안되는 분들은 참고하셔요,2021.02.10. 13:34
121,  갤럭시탭s7이 명절의 헬게이트를 뚫고 도착했었습니드 진짜 태블릿중에서 최고네요 제가 써본 태블릿은 아이패드1세대갤럭시탭a 2015년껀데 이때는 아이패드보다 떨어진다고 생각했지만 지금 갤럭시탭s7을 보면서 인식이 엄청 달라졌네요  진짜 배터리도 꽤오래가고 성능도 버벅임도 없고 액정이 lcd라서 처음에는 품질이 나쁠줄 알고 경계 했었는데 액정 화질이 엄청 좋은 lcd라서  놀랐습니다,2021.02.09. 23:48
122,키보드 붙였다 떼었다하다보니 탭밑부분 자석붙는부분에칠이 벗겨지는 현상입니다그리고 키보드 고정되면서 자리잡아주는 작은 핀이라고해야할까요그것이 부수어졌네요 ,2021.02.09. 08:35
123,파이어 HD 2019 직구로 구입해서 사용했는데동영상 감상하기에 저렴하니 사용할만한데도갤탭이 워낙 잘 나왔다기에 지름신을 못참고 구입했습니다만듬새와 소프트웨어 최적화 등등 참 잘 만들었네요무게가 살짝 무겁지만 이 정도면 추천할만한거 같습니다노트 휴대폰처럼 펜이 기기 자체에 수납되었으면 좋겠는데 기기 자체를 얇게 만드니 앞으로도 그렇게는 안할거 같네요파이어로 넷플릭스 볼때 보던 영상을 멈추고 다시 재생할때보던 장면이 아닌 경우가 많았었는데 기기 자체 하드웨어 영향이었나 봅니다갤탭에서는 이상없네요은근 불편했었는데종이질감 보호필름 붙였더니 필기할때 느낌은 좋은데역시 화질 저하는 좀나중에 떼게 될듯기기 가격이 100만원 넘는건 도저히 수용할 수 없는 가격인지라s7 128 와이파이 모델로 구입했습니다네이버 적립금 고려하면 60만원대에 구입한건데이정도 가격에 기기 퀄리티면 타인에게 추천할만한거 같습니다,2021.02.08. 12:11
124,아이패드 프로랑 갤탭 같이 공부용으로 쓰고 있는데아이패드는 가로모드로 놓아도 위아래가 시원시원한데갤탭은 위아래가 너무 좁아서 책을 움직여야 할때가 많습니다이제 필기감도 좋아졌으니 학생들의 수요가 많이 늘어날텐데폭을 넓히고 키보드커버 스탠드를 조금만 하드하게 하면공부용으로는 더할나위없을거 같습니다,2021.02.07. 20:54
125,개인적으로 아이패드 프로까지 다 써본 결과갤럭시제품이 짱인 것 같아요 서피스프로도 있고 올레드는 눈아파서lcd고 저렴한 갤럭시는 라이트 샀는데필기감 진짜  너무 좋아요  필기할 맛 나네용 왼쪽부터서피스프로6갤럭시탭s6 lite아이패드미니5입니다제 원픽은 갤식라입니다,2021.02.06. 22:06
126,며칠 전 액정을 누르면 바람소리가 난다는 글이 갑자기 생각나 아침에 눌러보니 바람이 나오고 슉슉 소리가 나더군요  일찍 센터에 방문해서 기사님께 증상을 설명하니까 기술 지원 그쪽에 연락을 해봐야 한다고 하셔서 10분 정도 기다렸네요결과는 다른 s7도 바람이 나오고 슉슉 소리가 들린다고 하네요애초에 방수 방진 제품도 아니고 테두리는 접착돼있고 액정 가운데는 부품과 약간의 공간이 있으니 누르면 바람이나 어느 정도 소리가 난다고 합니다저도 그 글을 보기 전까지는 전혀 바람이라든지 슉슉 소리라든지 못 느껴서 그런 증상이 있었는지 몰랐고 기사분도 처음이라고 하시네요다른 분들도 탭을 햄버거 먹는 듯 쥐고 충전단자를 귀에 댄 후 액정 가운데 부분을 누르시면 바람과 함께 슉슉 소리가 들리실 겁니다편차는 있겠지만 안 나는 제품은 희박할듯합니다평상시 필기나 웹툰 볼 때 전혀 못 느껴서 일부러 누르지 않는 이상 못 느끼실 겁니다정상이라고 합니다,2021.02.06. 11:30
127,집에 박혀있으려니 답답해서 태블릿 두리번 두리번 거리다 클립 지원하는 아이패드로 이쪽 입문 했는데의외로 너무 편해서 정말 만족했습니다그래서 ios적응 못해도 클립 하나로 꾸역꾸역 버티던 중이였는데마침 이번 갤탭7도 클립을 지원하기 시작 한다길래 후다닥 넘어왔습니다 카페 앉아서 작업하면서 느낀건데s펜 진짜 좋아졌네요마지막으로 쓴게 노트5때 였는데 지금이랑은 펜 퀄리티 자체가 거의 천지차이 인듯 합니다파일관리도 쉽다보니 잘 넘어왔단 생각이 확 드네요,2021.02.05. 17:25
128,이 카페에서 검색해보다가동영상 머신으로는 s5e 가 최고래서싸구려탭 쓰다가바꿧는데 화질이나 스피커가 넘사벽급으로 좋네요진작에 바꿀걸 그랬어요,2021.02.05. 09:50
129,아무도 연락이 안와서 이전이랑 똑같음,2021.02.04. 20:35
130,우리가 s펜에 사용하려고 구매하는 와콤사의 펠트심 즉 보통 지칭하는 펠트심은 아래 상품 하나 뿐이에요  펠트심은 기둥이 번들용s펜의 번들용고무펜촉보다 03mm두꺼워요 아주 작은 차이지만 s펜의 스펙에서 필압인지가 4000단계가 넘어가기 때문에 정상적인 기능을 위해서라면 상세정보의 내용대로 쓰는게 좋아요 기둥을 홀딩해주는 parts가 한번 벌이지면 다시 좁아지기 어렵고요구라미펜무광보라 무광블랙 유광흰색말고신라미펜이나 번들펜에 꽂아도안되는 건 아니고 되긴 돼요  원래 기능인 4096단계 필압을 그대로 기능하지 못하고 기둥바인딩파츠가 비가역적으로 벌어져서 07mm 기둥인 심을 제대로 못쓸 수 있다거나 하겠죠 하지만 중고로 팔지않고 귀속살 생각이라면 써도 무방하죠 4천단계든 2천단계든 사람이 느낄 수나 있을까요 그 어떤 사람이 도구로 실측해서 올린 사진 보신 분도 계실텐데요 게중에서도 차이가 적게 나는게 걸렸을 뿐이죠 금형은 같아도 플라스틱과 고무이기 때문에 실측이 개체마다 같진 않아요 그리고 육안으로만 봐도 확실히 두께가 차이가 나는 것들이 정말 많아요 자기가 실측한 샘플n1가지고 홈페이지 정보가 틀렸다는둥 빼액하면 좀 모자른 거죠제조사가 심심해서 상세정보에 빨간글씨 써넣은줄 아나 와콤원과 신라미펜과 같은 07mm심을 쓰는 번들펜에다가 1mm펠트심 끼고 사용하다가 07mm기본펜촉 끼니까 고정이 안된다는 글들이 갤탭 s4시절부터 꾸준히 올라왔었어요 제 s4번들펜도 그랬고 다른 커뮤니티에서도요 쓸 땐 쓰더라도 제대로 알고 쓰는게 좋죠 질문X 후기X 체험단글 게시글작성X기업홍보단X,2021.01.28. 18:10
131, 코로나19로 영상작업 및 집 직장 생활만 하다보니휴대폰 s9 인데 한계를 느끼고 해서스타필드에서 우연히 보고 질러버렸숩니다영상편집유튜브문서작업 줌등등 비대면 활동용으로 으로샀는데사고보니 먼기능이 있는지 모르것네요 좀과하게 좋은거 산거같기도 하고요 성능이나 이런건 대만족입니다 여러분들은 어떤용도로 많이 사용하시나요,2021.01.26. 22:11
132,앗팯이랑 갤탭을 필기용으로 고민하시는 분들이 많으신 거 같네요제 지난글들 중에 pdf관련글어플비교 리뷰 후기 등 또는 조회수가 1000회 이상인 것들을 읽어보시면 도움이 많이 될겁니다one 31로 업글되면서 갤탭의 팜리젝션이 개선되었습니다 하드웨어적으로 더 이상의 개선은 없을 것이라고 모두가 생각했는데 소프트웨어적으로 개선시켰습니다 전국 우수한 두뇌들이 달라붙어 집단지성을 발휘하면 뭐라도 되긴 되는구나 하고 생각해봅니다이번에 갤탭s7과 플러스의 높은 매출이 투자비용으로 연결된 결과라고 봅니다지금은 제 선택이 결코 틀리지 않았구나 하고 확신합니다ps 무선 세컨드모니터는 아직 좀 개선되어야할 거 같아요유선으로 twomon se쓰는게 더 낫네요무선의 구조적인 한계점때문일까요 ,2021.01.24. 14:53
133,고민끝에 질러버렸네요확실히 화면도 크고 엄청 빠릿해졌네요삼케플도 가입했습니다 하하,2021.01.21. 21:00
134,라미펜 써보니깐 기본펜은 불편 하더라구요,2021.01.16. 21:44
135,1주일전에 스코코 종이질감 필름을 붙이고 새로 지문인식을 등록했습니다그런데 좀 인식이 잘 안되더라구요근데 지금은 거의 10번중 반도 인식이 안되네요종이질감필름 필기감은 그럭저럭 좋은데지문인식이 안좋네요 종이질감 필름 붙인 다른분들은 어떠신지전 정말 후회하네요 근데 필기감이 생액정에 쓰는것보다 좋긴한데,2021.01.16. 18:44
